dataset,band,n_rows_read,n_rows_used,n_rows_dropped_missing_col,n_visible,n_not_visible,unknown_fraction,discfrac_median,discfrac_p5,discfrac_p95
attenuation_drift_logs,10-15,5321,5321,0.0,5321,0,0.0,0.7,0.4,1.0
attenuation_drift_logs,30-40,21445,21445,0.0,21445,0,0.0,0.7352941176470589,0.4375,0.9166666666666666
attenuation_drift_logs,80-100,28088,28088,0.0,28088,0,0.0,0.8588235294117647,0.5108695652173914,0.9625
attenuation_drift_logs,POOLED,54854,54854,,54854,0,0.0,,,
cx_step2_registration,10-15,12012,12012,0.0,2131,9881,0.8225940725940726,0.8,0.5,1.0
cx_step2_registration,30-40,49295,49295,0.0,6479,42816,0.8685667917638705,0.8333333333333334,0.21212121212121213,0.967741935483871
cx_step2_registration,80-100,56035,56035,0.0,10174,45861,0.8184349067547069,0.9090909090909091,0.47368421052631576,0.9759036144578314
cx_step2_registration,POOLED,117342,117342,,18784,98558,0.8399209149324197,,,
graphdepth_sweep_wide,10-15,1399,1399,0.0,1399,0,0.0,0.7,0.4,1.0
graphdepth_sweep_wide,30-40,1672,1672,0.0,1672,0,0.0,0.7352941176470589,0.39727272727272733,0.9375
graphdepth_sweep_wide,80-100,3127,3127,0.0,3127,0,0.0,0.8571428571428571,0.475,0.9529411764705882
graphdepth_sweep_wide,POOLED,6198,6198,,6198,0,0.0,,,
rq2c_replay,10-15,5101,5101,0.0,5101,0,0.0,0.7,0.4,1.0
rq2c_replay,30-40,1651,1651,0.0,1651,0,0.0,0.7333333333333333,0.4444444444444444,0.9166666666666666
rq2c_replay,80-100,2962,2962,0.0,2962,0,0.0,0.8588235294117647,0.5125,0.963855421686747
rq2c_replay,POOLED,9714,9714,,9714,0,0.0,,,
