band,hop,n,mean_shift,median_shift
10-15,1,1428,0.40275002988233083,3.879477610817269e-07
10-15,2,1233,0.09264104113228176,0.0
10-15,3,426,7.667173931282779e-09,0.0
10-15,4,91,0.0,0.0
10-15,5,11,0.0,0.0
10-15,6,2,0.0,0.0
10-15,unreachable,5271,5.5450070065903935e-09,0.0
30-40,1,1825,0.39202388575455754,0.3061900918379972
30-40,2,3030,0.1089782741559423,0.0
30-40,3,2942,4.938263417209933e-11,0.0
30-40,4,1890,0.0,0.0
30-40,5,926,0.0,0.0
30-40,6,352,0.0,0.0
30-40,7,120,0.0,0.0
30-40,8,24,0.0,0.0
30-40,9,6,0.0,0.0
30-40,unreachable,23405,2.5935577346661704e-11,0.0
80-100,1,1546,0.4059911160524859,0.30151168011478235
80-100,2,2957,0.11227832712800882,0.0
80-100,3,3991,0.0,0.0
80-100,4,3661,0.0,0.0
80-100,5,2395,0.0,0.0
80-100,6,1274,0.0,0.0
80-100,7,606,0.0,0.0
80-100,8,236,0.0,0.0
80-100,9,88,0.0,0.0
80-100,10,32,0.0,0.0
80-100,11,8,0.0,0.0
80-100,12,6,0.0,0.0
80-100,13,2,0.0,0.0
80-100,14,1,0.0,0.0
80-100,unreachable,179366,3.472066087646101e-12,0.0
