N,total_survivors,two_hop_survivors,coverage_frac,full_coverage,prop_allsurv_norm,prop_2hoponly_norm,denom_ratio,direct_norm,hbar_check_diff
7,6,2,0.3333333333333333,False,0.05472393039239756,0.1641717911771927,3.0,,
7,6,4,0.6666666666666666,False,0.0,0.0,1.5,,
7,6,4,0.6666666666666666,False,0.0,0.0,1.5,,
6,5,5,1.0,True,0.0,0.0,1.0,0.11900289326728794,1.4138290538312503e-10
5,4,3,0.75,False,0.0,0.0,1.3333333333333333,,
10,9,2,0.2222222222222222,False,0.0,0.0,4.5,,
7,6,6,1.0,True,0.3083884545003625,0.3083884545003625,1.0,0.08256702202508129,4.725797531079934e-08
6,5,5,1.0,True,0.5348205937003406,0.5348205937003406,1.0,0.06435067109462748,5.811157333113215e-08
5,4,4,1.0,True,0.3272106844370534,0.3272106844370534,1.0,0.17117083251612714,2.2326758553070647e-08
4,3,3,1.0,True,0.5843367614917682,0.5843367614917682,1.0,0.12918436854172655,4.067921777206607e-08
3,2,1,0.5,False,9.485224110975393e-08,1.8970448221950786e-07,2.0,,
4,3,3,1.0,True,3.238792122872403e-07,3.238792122872403e-07,1.0,0.19866913665772454,6.840889388293192e-08
3,2,2,1.0,True,0.44776777540474666,0.44776777540474666,1.0,0.0923562317973029,6.796385210172673e-08
8,7,6,0.8571428571428571,False,0.0,0.0,1.1666666666666667,,
7,6,6,1.0,True,0.17908636435142022,0.17908636435142022,1.0,0.04438835789900412,2.1540896399940834e-08
6,5,4,0.8,False,0.0,0.0,1.25,,
5,4,3,0.75,False,0.0,0.0,1.3333333333333333,,
12,11,3,0.2727272727272727,False,0.19146433500670507,0.7020358950245852,3.6666666666666665,,
10,9,4,0.4444444444444444,False,0.0,0.0,2.25,,
9,8,5,0.625,False,0.29334064929005055,0.46934503886408085,1.6,,
9,8,2,0.25,False,0.0,0.0,4.0,,
8,7,2,0.2857142857142857,False,0.0,0.0,3.5,,
7,6,3,0.5,False,0.0,0.0,2.0,,
6,5,5,1.0,True,0.6929919336630423,0.6929919336630423,1.0,0.08975712060875546,1.2849570296680213e-09
5,4,4,1.0,True,0.0,0.0,1.0,0.265398898673742,1.5522589880134774e-09
12,11,8,0.7272727272727273,False,0.0,0.0,1.375,,
11,10,5,0.5,False,0.05510885017619155,0.1102177003523831,2.0,,
8,7,3,0.42857142857142855,False,0.0,0.0,2.3333333333333335,,
7,6,6,1.0,True,0.0,0.0,1.0,0.05504296866540481,1.6858141105302593e-08
6,5,5,1.0,True,0.3149343454057157,0.3149343454057157,1.0,0.12738432014229384,8.155254338504392e-08
8,7,2,0.2857142857142857,False,0.0,0.0,3.5,,
7,6,4,0.6666666666666666,False,0.5929020213119766,0.889353031967965,1.5,,
7,6,3,0.5,False,0.16142098145311612,0.32284196290623224,2.0,,
6,5,3,0.6,False,0.22179383011155218,0.3696563835192537,1.6666666666666667,,
5,4,2,0.5,False,0.0,0.0,2.0,,
4,3,2,0.6666666666666666,False,0.7183461477375556,1.0775192216063334,1.5,,
5,4,1,0.25,False,0.1386924387968391,0.5547697551873564,4.0,,
5,4,3,0.75,False,0.8048302170089172,1.0731069560118895,1.3333333333333333,,
5,4,4,1.0,True,0.8251786855367279,0.8251786855367279,1.0,0.15498741602091437,1.7417357334181816e-08
3,2,1,0.5,False,1.264596230196414e-07,2.529192460392828e-07,2.0,,
9,8,2,0.25,False,0.0,0.0,4.0,,
8,7,5,0.7142857142857143,False,0.6497521612259378,0.9096530257163129,1.4,,
6,5,2,0.4,False,0.0,0.0,2.5,,
5,4,3,0.75,False,0.0,0.0,1.3333333333333333,,
4,3,3,1.0,True,1.4976626033032119,1.4976626033032119,1.0,0.26010644997253823,4.137767151135563e-08
8,7,4,0.5714285714285714,False,0.2010700077998561,0.3518725136497481,1.75,,
6,5,4,0.8,False,0.9171245114932901,1.1464056393666127,1.25,,
8,7,6,0.8571428571428571,False,0.19655609961278728,0.2293154495482518,1.1666666666666667,,
7,6,5,0.8333333333333334,False,0.1002199482478051,0.12026393789736611,1.2,,
6,5,5,1.0,True,0.22292138785600138,0.22292138785600138,1.0,0.13236289302511253,4.470636638664871e-08
5,4,4,1.0,True,0.9704148747765207,0.9704148747765207,1.0,0.2077219589559039,8.997949274558437e-09
2,1,1,1.0,True,1.1411246900966466e-07,1.1411246900966466e-07,1.0,0.21064639871067423,6.774626748473622e-09
9,8,6,0.75,False,0.22537025491798157,0.30049367322397547,1.3333333333333333,,
8,7,5,0.7142857142857143,False,0.0,0.0,1.4,,
7,6,4,0.6666666666666666,False,0.4200014960178351,0.6300022440267526,1.5,,
9,8,7,0.875,False,0.3092452994705037,0.35342319939486144,1.1428571428571428,,
8,7,3,0.42857142857142855,False,0.0,0.0,2.3333333333333335,,
7,6,6,1.0,True,0.10677556614120001,0.10677556614120001,1.0,0.0757600934111379,1.9050510502438556e-08
6,5,5,1.0,True,0.18262468306143423,0.18262468306143423,1.0,0.06093375174017598,1.3281712174517679e-08
10,9,2,0.2222222222222222,False,0.0,0.0,4.5,,
8,7,3,0.42857142857142855,False,0.0,0.0,2.3333333333333335,,
7,6,4,0.6666666666666666,False,0.16093927863913984,0.24140891795870975,1.5,,
5,4,3,0.75,False,0.4308556211545244,0.5744741615393659,1.3333333333333333,,
4,3,1,0.3333333333333333,False,0.248274382608951,0.7448231478268528,3.0,,
3,2,2,1.0,True,3.0248643597772334e-07,3.0248643597772334e-07,1.0,0.04749664095863423,7.868868778793114e-09
3,2,1,0.5,False,0.4781157561010113,0.9562315122020226,2.0,,
12,11,2,0.18181818181818182,False,0.0,0.0,5.5,,
11,10,3,0.3,False,0.13061682867894558,0.4353894289298186,3.3333333333333335,,
10,9,3,0.3333333333333333,False,0.15232818334465403,0.45698455003396216,3.0,,
7,6,3,0.5,False,0.23985407858203958,0.47970815716407916,2.0,,
6,5,2,0.4,False,0.0,0.0,2.5,,
5,4,1,0.25,False,0.28097631959965785,1.1239052783986314,4.0,,
4,3,2,0.6666666666666666,False,0.3325812349250009,0.4988718523875014,1.5,,
7,6,3,0.5,False,0.0746148595299199,0.1492297190598398,2.0,,
5,4,4,1.0,True,0.854582172128156,0.854582172128156,1.0,0.19504204761940397,9.47027745112905e-09
4,3,1,0.3333333333333333,False,0.2743434587447332,0.8230303762341996,3.0,,
8,7,3,0.42857142857142855,False,0.0,0.0,2.3333333333333335,,
5,4,2,0.5,False,0.0,0.0,2.0,,
7,6,5,0.8333333333333334,False,0.08505621711983818,0.10206746054380583,1.2,,
8,7,5,0.7142857142857143,False,0.3049656520794306,0.4269519129112028,1.4,,
7,6,2,0.3333333333333333,False,0.0,0.0,3.0,,
5,4,2,0.5,False,0.12309911102928235,0.2461982220585647,2.0,,
5,4,2,0.5,False,8.93604140684998e-08,1.787208281369996e-07,2.0,,
4,3,2,0.6666666666666666,False,1.7237873783566895e-07,2.5856810675350344e-07,1.5,,
4,3,3,1.0,True,0.393496240687775,0.393496240687775,1.0,0.0955077352899992,3.0249347027222484e-08
8,7,5,0.7142857142857143,False,0.07306070337524233,0.10228498472533926,1.4,,
6,5,4,0.8,False,0.2819154936257357,0.3523943670321696,1.25,,
5,4,3,0.75,False,0.0,0.0,1.3333333333333333,,
8,7,4,0.5714285714285714,False,0.10732841695699968,0.18782472967474945,1.75,,
6,5,3,0.6,False,0.2530329340523268,0.42172155675387807,1.6666666666666667,,
7,6,3,0.5,False,0.1489413565264387,0.2978827130528774,2.0,,
8,7,2,0.2857142857142857,False,0.0,0.0,3.5,,
6,5,3,0.6,False,0.19698696582753897,0.32831160971256496,1.6666666666666667,,
5,4,3,0.75,False,0.18457584106248923,0.24610112141665233,1.3333333333333333,,
4,3,3,1.0,True,1.9297542630701496e-07,1.9297542630701496e-07,1.0,0.18105434822943414,3.757397304404719e-08
3,2,2,1.0,True,0.7032565485935248,0.7032565485935248,1.0,0.1332775634201537,8.014749530715903e-09
9,8,5,0.625,False,0.259849322909375,0.41575891665500003,1.6,,
8,7,2,0.2857142857142857,False,0.0,0.0,3.5,,
8,7,3,0.42857142857142855,False,0.0,0.0,2.3333333333333335,,
7,6,3,0.5,False,0.5504275971298999,1.1008551942597997,2.0,,
9,8,2,0.25,False,9.767476178499259e-08,3.9069904713997035e-07,4.0,,
6,5,4,0.8,False,0.1668336328954674,0.20854204111933428,1.25,,
7,6,2,0.3333333333333333,False,0.0,0.0,3.0,,
6,5,3,0.6,False,0.2977652108526378,0.496275351421063,1.6666666666666667,,
4,3,3,1.0,True,0.3731150572917688,0.3731150572917688,1.0,0.11385901068826436,1.643339098134078e-08
4,3,2,0.6666666666666666,False,2.70186159963665e-07,4.052792399454975e-07,1.5,,
10,9,6,0.6666666666666666,False,0.08976715823705692,0.1346507373555854,1.5,,
8,7,6,0.8571428571428571,False,0.2286937571725903,0.26680938336802207,1.1666666666666667,,
7,6,5,0.8333333333333334,False,0.0,0.0,1.2,,
6,5,5,1.0,True,0.415225331817769,0.415225331817769,1.0,0.08695052418132543,7.790977241128871e-08
6,5,4,0.8,False,0.0,0.0,1.25,,
10,9,4,0.4444444444444444,False,0.0,0.0,2.25,,
9,8,5,0.625,False,0.09101620159356164,0.1456259225496986,1.6,,
8,7,5,0.7142857142857143,False,0.0,0.0,1.4,,
9,8,3,0.375,False,0.1194319925019609,0.3184853133385624,2.6666666666666665,,
8,7,5,0.7142857142857143,False,0.3727930929858958,0.5219103301802541,1.4,,
7,6,2,0.3333333333333333,False,2.2835200372527936e-08,6.85056011175838e-08,3.0,,
12,11,4,0.36363636363636365,False,0.0,0.0,2.75,,
12,11,5,0.45454545454545453,False,0.0,0.0,2.2,,
