band,population,slice,n_all,n_discovered,n_hold,A_all,A_discovered
10-15,including batch,departing_held_max,7042,2240,1985,0.28188014768531666,0.8861607142857143
10-15,including batch,departing_held_min,7042,2240,1966,0.27918205055381995,0.8776785714285714
10-15,including batch,union,7042,2240,2053,0.2915364953138313,0.9165178571428572
10-15,excluding batch,departing_held_max,6468,2043,1808,0.2795299938157081,0.8849730788056779
10-15,excluding batch,departing_held_min,6468,2043,1794,0.27736549165120594,0.8781204111600588
10-15,excluding batch,union,6468,2043,1870,0.2891156462585034,0.9153206069505629
30-40,including batch,departing_held_max,27066,6941,4229,0.1562476908298234,0.6092782019881862
30-40,including batch,departing_held_min,27066,6941,3960,0.14630902238971402,0.5705229793977813
30-40,including batch,union,27066,6941,4688,0.17320623660681297,0.675407001872929
30-40,excluding batch,departing_held_max,24529,6179,3778,0.15402177014961882,0.6114257970545396
30-40,excluding batch,departing_held_min,24529,6179,3531,0.14395205674915407,0.5714516912121702
30-40,excluding batch,union,24529,6179,4182,0.170492070610298,0.6768085450720182
80-100,including batch,departing_held_max,32253,10872,3741,0.11598921030601804,0.34409492273730685
80-100,including batch,departing_held_min,32253,10872,2428,0.07527981893157226,0.22332597498160411
80-100,including batch,union,32253,10872,4321,0.13397203360927665,0.3974429727740986
80-100,excluding batch,departing_held_max,29203,9730,3361,0.11509091531691949,0.34542651593011303
80-100,excluding batch,departing_held_min,29203,9730,2185,0.07482108002602472,0.22456320657759507
80-100,excluding batch,union,29203,9730,3889,0.13317124952915796,0.3996916752312436
