band,hop_bin,n_events,n_survivors,two_level_mean_shift_norm,pooled_mean_shift_norm,abs_diff_two_level_vs_pooled
10-15,1hop,738,1428,0.3114336992392057,0.40275002988233083,0.09131633064312511
10-15,2hop,641,1233,0.09971344249276268,0.09264104113228176,0.007072401360480915
10-15,3hop,293,426,1.1147495203844588e-08,7.667173931282779e-09,3.480321272561809e-09
10-15,4hop,74,91,0.0,0.0,0.0
10-15,5hop,10,11,0.0,0.0,0.0
10-15,6hop,2,2,0.0,0.0,0.0
10-15,7hop,0,0,,,
10-15,8hop,0,0,,,
10-15,9hop,0,0,,,
10-15,10hop,0,0,,,
10-15,unreachable,1092,5271,1.205035709556652e-08,5.5450070065903935e-09,6.505350088976127e-09
30-40,1hop,744,1825,0.319408259938316,0.39202388575455754,0.07261562581624154
30-40,2hop,730,3030,0.09934602070109039,0.1089782741559423,0.009632253454851913
30-40,3hop,700,2942,2.075481567633089e-10,4.938263417209933e-11,1.5816552259120958e-10
30-40,4hop,618,1890,0.0,0.0,0.0
30-40,5hop,400,926,0.0,0.0,0.0
30-40,6hop,189,352,0.0,0.0,0.0
30-40,7hop,77,120,0.0,0.0,0.0
30-40,8hop,18,24,0.0,0.0,0.0
30-40,9hop,4,6,0.0,0.0,0.0
30-40,10hop,0,0,,,
30-40,unreachable,1485,23405,2.376142571103023e-10,2.5935577346661704e-11,2.1167867976364058e-10
80-100,1hop,622,1546,0.32373042251872297,0.4059911160524859,0.08226069353376292
80-100,2hop,616,2957,0.09957932384303075,0.11227832712800882,0.01269900328497807
80-100,3hop,613,3991,0.0,0.0,0.0
80-100,4hop,604,3661,0.0,0.0,0.0
80-100,5hop,543,2395,0.0,0.0,0.0
80-100,6hop,387,1274,0.0,0.0,0.0
80-100,7hop,224,606,0.0,0.0,0.0
80-100,8hop,102,236,0.0,0.0,0.0
80-100,9hop,45,88,0.0,0.0,0.0
80-100,10hop,21,32,0.0,0.0,0.0
80-100,unreachable,2817,179366,7.369194247742641e-11,3.472066087646101e-12,7.021987638978031e-11
