band,seed,topo,n_static_ep,n_change_ep,network_size,network_size_fixed,ownable_count,ownable_count_fixed,root_owned_static,cost,mechanical,behavioural_residual,conquest,relative_fragility
10-15,42,1,82,23,10,True,9,True,8.060975609756097,2.1914103923647925,1.5217391304347827,0.6696712619300098,0.8956639566395663,0.08307570874169562
10-15,42,29,30,6,12,True,11,True,11.0,3.666666666666667,2.3333333333333335,1.3333333333333335,1.0,0.12121212121212123
10-15,42,4,36,6,10,True,9,True,6.333333333333333,1.333333333333333,1.6666666666666667,-0.3333333333333337,0.7037037037037037,-0.05263157894736848
10-15,42,45,42,6,10,True,9,True,7.095238095238095,2.595238095238095,3.0,-0.4047619047619051,0.7883597883597884,-0.05704697986577186
10-15,42,54,60,30,11,True,10,True,9.966666666666667,2.4000000000000004,1.6,0.8000000000000003,0.9966666666666667,0.08026755852842812
10-15,42,61,54,24,10,True,9,True,8.055555555555555,2.2222222222222223,1.6666666666666667,0.5555555555555556,0.8950617283950617,0.06896551724137931
10-15,42,62,66,12,10,True,9,True,5.363636363636363,0.6969696969696964,0.9166666666666666,-0.21969696969697028,0.5959595959595959,-0.04096045197740124
10-15,42,76,30,23,12,True,10,True,6.5,1.5,1.608695652173913,-0.10869565217391308,0.65,-0.01672240802675586
10-15,100,1,48,18,10,True,9,True,8.1875,2.020833333333333,1.2777777777777777,0.7430555555555554,0.9097222222222222,0.09075487701441898
10-15,100,4,72,12,10,True,9,True,6.305555555555555,1.6388888888888884,1.3333333333333333,0.30555555555555514,0.7006172839506173,0.048458149779735615
10-15,100,54,60,12,11,True,10,True,10.383333333333333,3.633333333333333,2.1666666666666665,1.4666666666666663,1.0383333333333333,0.14125200642054572
10-15,100,61,41,23,10,True,9,True,8.024390243902438,1.720042417815482,1.9130434782608696,-0.19300106044538756,0.8915989159891597,-0.024051803885291462
10-15,100,62,48,23,10,True,9,True,5.520833333333333,1.0860507246376807,1.0434782608695652,0.04257246376811552,0.6134259259259259,0.007711238720262434
10-15,100,76,54,12,12,True,10,True,6.388888888888889,1.2222222222222223,1.5833333333333333,-0.36111111111111094,0.638888888888889,-0.056521739130434755
10-15,123,1,71,22,10,True,9,True,8.380281690140846,1.9711907810499367,1.8181818181818181,0.1530089628681186,0.9311424100156496,0.01825821237585953
10-15,123,4,59,30,10,True,9,True,6.186440677966102,1.686440677966102,1.3666666666666667,0.3197740112994354,0.6873822975517891,0.05168949771689503
10-15,123,45,54,12,10,True,9,True,6.703703703703703,1.2870370370370363,2.0833333333333335,-0.7962962962962972,0.7448559670781892,-0.11878453038674047
10-15,123,54,60,6,11,True,10,True,10.283333333333333,2.283333333333333,2.0,0.2833333333333332,1.0283333333333333,0.027552674230145856
10-15,123,61,30,18,10,True,9,True,8.166666666666666,2.3888888888888884,1.9444444444444444,0.444444444444444,0.9074074074074073,0.05442176870748294
10-15,123,62,42,12,10,True,9,True,5.5,0.33333333333333304,1.0,-0.666666666666667,0.6111111111111112,-0.12121212121212127
10-15,123,76,30,30,12,True,10,True,6.466666666666667,1.2666666666666666,1.3666666666666667,-0.10000000000000009,0.6466666666666667,-0.015463917525773209
10-15,200,1,66,12,10,True,9,True,7.46969696969697,2.8863636363636367,1.5,1.3863636363636367,0.82996632996633,0.1855983772819473
10-15,200,29,54,12,12,True,11,True,11.203703703703704,3.037037037037038,2.0833333333333335,0.9537037037037046,1.0185185185185186,0.08512396694214884
10-15,200,4,66,12,10,True,9,True,5.96969696969697,0.9696969696969697,1.0833333333333333,-0.11363636363636354,0.6632996632996633,-0.019035532994923842
10-15,200,45,48,12,10,True,9,True,6.958333333333333,1.875,2.1666666666666665,-0.2916666666666665,0.7731481481481481,-0.04191616766467064
10-15,200,54,48,18,11,True,10,True,10.75,3.0277777777777777,2.0,1.0277777777777777,1.075,0.09560723514211886
10-15,200,61,30,31,10,True,9,True,8.066666666666666,1.7763440860215054,1.2903225806451613,0.48602150537634414,0.8962962962962963,0.06025059984004266
10-15,200,62,34,17,10,True,9,True,5.352941176470588,0.8235294117647056,1.1176470588235294,-0.2941176470588238,0.5947712418300654,-0.054945054945055
10-15,200,76,54,6,12,True,10,True,6.425925925925926,1.0925925925925926,1.1666666666666667,-0.07407407407407418,0.6425925925925926,-0.01152737752161385
10-15,300,1,30,18,10,True,9,True,8.333333333333334,2.722222222222223,2.3333333333333335,0.3888888888888897,0.925925925925926,0.046666666666666766
10-15,300,29,54,24,12,True,11,True,11.61111111111111,3.9027777777777777,2.375,1.5277777777777777,1.0555555555555556,0.13157894736842105
10-15,300,4,42,18,10,True,9,True,6.071428571428571,1.5714285714285712,1.2222222222222223,0.34920634920634885,0.6746031746031745,0.05751633986928099
10-15,300,45,54,23,10,True,9,True,7.148148148148148,2.0177133655394526,1.8695652173913044,0.14814814814814814,0.794238683127572,0.02072538860103627
10-15,300,54,59,23,11,True,10,True,10.559322033898304,2.9506263817243914,2.260869565217391,0.6897568165070003,1.0559322033898304,0.0653220741154302
10-15,300,61,84,18,10,True,9,True,8.154761904761905,2.432539682539683,1.7222222222222223,0.7103174603174605,0.9060846560846562,0.08710462287104624
10-15,300,62,42,18,10,True,9,True,5.523809523809524,1.3571428571428568,0.9444444444444444,0.41269841269841234,0.6137566137566137,0.07471264367816086
10-15,300,76,35,18,12,True,10,True,6.4,0.7333333333333334,0.8333333333333334,-0.09999999999999998,0.64,-0.015624999999999997
