band,seed,topo,network_size,mechanical_share_mean_capped,n_episodes_total,n_episodes_included_capped,n_episodes_excluded_zero,n_episodes_excluded_negative,n_episodes_capped_to_1,share_over1_rate_of_gross_positive
10-15,42,1,10,0.5908729415334143,23,23,0,0,8,0.34782608695652173
10-15,42,29,12,0.6666666666666666,6,6,0,0,1,0.16666666666666666
10-15,42,4,10,0.7142857142857144,6,6,0,0,3,0.5
10-15,42,45,10,0.9782918631755843,6,6,0,0,2,0.3333333333333333
10-15,42,54,11,0.6184547138223027,30,28,0,2,11,0.39285714285714285
10-15,42,61,10,0.6499996990657017,24,22,0,2,4,0.18181818181818182
10-15,42,62,10,0.6592592592592593,12,9,0,3,3,0.3333333333333333
10-15,42,76,12,0.726530612244898,23,21,0,2,10,0.47619047619047616
10-15,100,1,10,0.5303153350892595,18,16,0,2,3,0.1875
10-15,100,4,10,0.6442808984737853,12,12,0,0,4,0.3333333333333333
10-15,100,54,11,0.5664260534437204,12,12,0,0,1,0.08333333333333333
10-15,100,61,10,0.7790431815237491,23,20,0,3,7,0.35
10-15,100,62,10,0.6050907311110699,23,19,0,4,5,0.2631578947368421
10-15,100,76,12,0.6864450837001351,12,11,0,1,6,0.5454545454545454
10-15,123,1,10,0.6758226144990305,22,22,0,0,9,0.4090909090909091
10-15,123,4,10,0.7108645783894951,30,28,0,2,7,0.25
10-15,123,45,10,0.9349315068493151,12,8,0,4,6,0.75
10-15,123,54,11,0.7280343512130845,6,6,0,0,1,0.16666666666666666
10-15,123,61,10,0.6109118951224215,18,18,0,0,6,0.3333333333333333
10-15,123,62,10,0.7407407407407407,12,9,0,3,6,0.6666666666666666
10-15,123,76,12,0.7074172074172074,30,27,0,3,12,0.4444444444444444
10-15,200,1,10,0.5569581069395333,12,10,0,2,2,0.2
10-15,200,29,12,0.649049862970478,12,12,0,0,0,0.0
10-15,200,4,10,0.5736263736263736,12,7,0,5,3,0.42857142857142855
10-15,200,45,10,0.8269020823505627,12,11,0,1,8,0.7272727272727273
10-15,200,54,11,0.5916770535965583,18,17,0,1,2,0.11764705882352941
10-15,200,61,10,0.576056680147499,31,29,0,2,4,0.13793103448275862
10-15,200,62,10,0.6488451086956522,17,16,0,1,7,0.4375
10-15,200,76,12,0.5751351351351351,6,5,0,1,2,0.4
10-15,300,1,10,0.7652930402930402,18,18,0,0,6,0.3333333333333333
10-15,300,29,12,0.5901088855755215,24,24,0,0,4,0.16666666666666666
10-15,300,4,10,0.5842288158246458,18,18,0,0,4,0.2222222222222222
10-15,300,45,10,0.688294746050913,23,22,0,1,8,0.36363636363636365
10-15,300,54,11,0.6747240061933261,23,23,0,0,8,0.34782608695652173
10-15,300,61,10,0.6655786622039861,18,17,0,1,3,0.17647058823529413
10-15,300,62,10,0.5280439268867925,18,16,0,2,7,0.4375
10-15,300,76,12,0.5986394557823129,18,14,0,4,6,0.42857142857142855
30-40,42,15,36,0.36802577980633655,78,77,0,1,11,0.14285714285714285
30-40,42,19,31,0.5421212679625471,37,37,0,0,5,0.13513513513513514
30-40,42,3,32,0.5242080285605322,30,29,0,1,2,0.06896551724137931
30-40,42,32,33,0.34049089847053843,54,51,0,3,5,0.09803921568627451
30-40,42,44,34,0.49067144977076943,36,30,0,6,7,0.23333333333333334
30-40,42,50,33,0.3807304693985592,35,26,0,9,4,0.15384615384615385
30-40,42,64,33,0.4324622168616662,30,28,0,2,4,0.14285714285714285
30-40,42,92,30,0.5745512094396475,30,29,0,1,7,0.2413793103448276
30-40,100,15,36,0.3101793903184753,47,43,0,4,4,0.09302325581395349
30-40,100,19,31,0.5341135453355181,24,23,0,1,2,0.08695652173913043
30-40,100,3,32,0.491025641025641,54,39,9,6,7,0.1794871794871795
30-40,100,32,33,0.3522772135881774,72,60,0,12,9,0.15
30-40,100,44,34,0.45379816262169204,36,32,0,4,6,0.1875
30-40,100,50,33,0.40794507201436375,36,30,0,6,8,0.26666666666666666
30-40,100,64,33,0.46125063650834447,24,23,0,1,4,0.17391304347826086
30-40,100,92,30,0.5069840431817095,27,25,0,2,6,0.24
30-40,123,15,36,0.3473891830296149,66,56,0,10,8,0.14285714285714285
30-40,123,19,31,0.5977433171434221,12,9,0,3,3,0.3333333333333333
30-40,123,3,32,0.34816070918328856,66,63,0,3,7,0.1111111111111111
30-40,123,32,33,0.15755301375144576,12,10,0,2,0,0.0
30-40,123,44,34,0.4246764995071077,48,41,0,7,4,0.0975609756097561
30-40,123,50,33,0.18789216861298666,89,83,0,6,4,0.04819277108433735
30-40,123,64,33,0.4931383415728894,65,58,0,7,9,0.15517241379310345
30-40,123,92,30,0.5069892499810108,42,38,0,4,12,0.3157894736842105
30-40,200,15,36,0.4378452949529588,60,47,0,13,9,0.19148936170212766
30-40,200,19,31,0.5536756488860107,48,43,0,5,8,0.18604651162790697
30-40,200,3,32,0.5734240854059064,36,26,0,10,7,0.2692307692307692
30-40,200,32,33,0.4820497192938168,42,33,0,9,9,0.2727272727272727
30-40,200,44,34,0.43247778057111513,64,58,0,6,8,0.13793103448275862
30-40,200,50,33,0.3416226866316355,60,51,0,9,10,0.19607843137254902
30-40,200,64,33,0.4507661622335616,60,54,0,6,9,0.16666666666666666
30-40,200,92,30,0.5855637127026022,30,29,0,1,8,0.27586206896551724
30-40,300,15,36,0.33064986390056444,39,36,0,3,1,0.027777777777777776
30-40,300,19,31,0.46840361976619715,30,27,0,3,4,0.14814814814814814
30-40,300,3,32,0.4125662940769849,36,31,0,5,5,0.16129032258064516
30-40,300,32,33,0.47395432523821424,30,17,0,13,5,0.29411764705882354
30-40,300,44,34,0.36980782922596,42,41,0,1,2,0.04878048780487805
30-40,300,50,33,0.2985979438252851,30,25,0,5,5,0.2
30-40,300,64,33,0.4392815915357359,60,58,0,2,6,0.10344827586206896
30-40,300,92,30,0.3085334900543139,53,53,0,0,5,0.09433962264150944
80-100,42,10,84,0.2748166297403109,30,25,0,5,3,0.12
80-100,42,100,88,0.20893561914663616,48,29,0,19,2,0.06896551724137931
80-100,42,17,92,0.014137603591160224,41,25,0,16,0,0.0
80-100,42,18,95,0.2548741484332286,65,46,0,19,5,0.10869565217391304
80-100,42,2,84,0.25176573245512057,78,35,0,43,7,0.2
80-100,42,5,85,0.16936902130808573,42,17,0,25,1,0.058823529411764705
80-100,42,67,80,0.10870951762918535,48,38,0,10,0,0.0
80-100,42,90,83,0.31214433228689925,48,27,0,21,4,0.14814814814814814
80-100,100,10,84,0.21893058752002806,53,38,0,15,5,0.13157894736842105
80-100,100,100,88,0.15552472794475022,48,40,0,8,1,0.025
80-100,100,17,92,0.3013664860890661,30,15,0,15,1,0.06666666666666667
80-100,100,18,95,0.2517048964107787,71,45,0,26,7,0.15555555555555556
80-100,100,2,84,0.2435897435897436,30,13,2,15,1,0.07692307692307693
80-100,100,5,85,0.14890064228516933,42,23,0,19,1,0.043478260869565216
80-100,100,67,80,0.22165073243732306,54,38,0,16,3,0.07894736842105263
80-100,100,90,83,0.21014844724175943,72,60,0,12,3,0.05
80-100,123,10,84,0.21873058619444127,77,52,0,25,4,0.07692307692307693
80-100,123,100,88,0.2338826861627947,66,53,0,13,6,0.11320754716981132
80-100,123,17,92,0.11386582653075863,59,32,0,27,1,0.03125
80-100,123,18,95,0.2523040924371526,48,37,0,11,5,0.13513513513513514
80-100,123,2,84,0.12071580224446465,42,21,0,21,2,0.09523809523809523
80-100,123,5,85,0.15221088435374155,18,14,0,4,1,0.07142857142857142
80-100,123,67,80,0.15100260890809056,36,28,0,8,1,0.03571428571428571
80-100,123,90,83,0.27119200878782695,54,27,0,27,3,0.1111111111111111
80-100,200,10,84,0.14512279590129692,48,31,0,17,1,0.03225806451612903
80-100,200,100,88,0.16709919913071603,42,25,0,17,1,0.04
80-100,200,17,92,0.1832344137617748,72,38,0,34,4,0.10526315789473684
80-100,200,18,95,0.16406774119929185,54,38,0,16,0,0.0
80-100,200,2,84,0.25371607528038725,47,28,0,19,3,0.10714285714285714
80-100,200,5,85,0.1343435636427098,48,35,0,13,2,0.05714285714285714
80-100,200,67,80,0.32940230231768947,47,37,0,10,7,0.1891891891891892
80-100,200,90,83,0.3111888111888113,42,28,0,14,5,0.17857142857142858
80-100,300,10,84,0.24071649266342343,24,15,0,9,0,0.0
80-100,300,100,88,0.2293401171372236,48,37,0,11,4,0.10810810810810811
80-100,300,17,92,0.17643145072785169,42,26,0,16,1,0.038461538461538464
80-100,300,18,95,0.24149989332609675,60,44,0,16,5,0.11363636363636363
80-100,300,2,84,0.06707596990564298,65,38,0,27,0,0.0
80-100,300,5,85,0.142306902017229,41,27,0,14,2,0.07407407407407407
80-100,300,67,80,0.14634593793677025,72,52,0,20,3,0.057692307692307696
80-100,300,90,83,0.2037319543201896,48,35,0,13,5,0.14285714285714285
