band,seed,topo,network_size,mechanical_share_mean_naive,mechanical_share_mean,n_episodes_total,n_episodes_included,n_episodes_excluded_zero,n_episodes_excluded_negative,n_episodes_excluded_over1
10-15,42,1,10,1.719667124323681,0.37267184368456874,23,15,0,0,8
10-15,42,29,12,0.7222222222222223,0.6,6,5,0,0,1
10-15,42,4,10,2.9642857142857166,0.4285714285714286,6,3,0,0,3
10-15,42,45,10,4.360343145226879,0.9674377947633762,6,4,0,0,2
10-15,42,54,11,0.730265694231382,0.37157246982496916,30,17,0,2,11
10-15,42,61,10,3.913157593802556,0.5722218544136353,24,18,0,2,4
10-15,42,62,10,0.9574074074074078,0.488888888888889,12,6,0,3,3
10-15,42,76,12,1.1709750566893424,0.4779220779220779,23,11,0,2,10
10-15,100,1,10,0.9393065631594351,0.4219265662637042,18,13,0,2,3
10-15,100,4,10,0.9474277217436541,0.46642134771067806,12,8,0,0,4
10-15,100,54,11,0.622952859970527,0.5270102401204223,12,11,0,0,1
10-15,100,61,10,9.134457928067821,0.6600664331134602,23,13,0,3,7
10-15,100,62,10,0.9164101254874221,0.4640517065078805,23,14,0,4,5
10-15,100,76,12,2.0810203445049025,0.3101791841402973,12,5,0,1,6
10-15,123,1,10,1.6737514256146524,0.451392116844513,22,13,0,0,9
10-15,123,4,10,0.9688444722497872,0.614486104519327,30,21,0,2,7
10-15,123,45,10,1.806630591517508,0.7397260273972603,12,2,0,4,6
10-15,123,54,11,0.7644133698256058,0.6736412214557015,6,5,0,0,1
10-15,123,61,10,1.4744168112589189,0.4163678426836323,18,12,0,0,6
10-15,123,62,10,1.4074074074074074,0.2222222222222222,12,3,0,3,6
10-15,123,76,12,1.3589601089601089,0.47335097335097326,30,15,0,3,12
10-15,200,1,10,0.5999028922156069,0.4461976336744166,12,8,0,2,2
10-15,200,29,12,0.649049862970478,0.649049862970478,12,12,0,0,0
10-15,200,4,10,0.8023351648351648,0.25384615384615383,12,4,0,5,3
10-15,200,45,10,1.2054769543392014,0.3653076352853966,12,3,0,1,8
10-15,200,54,11,0.6420972216637851,0.5372339940760994,18,15,0,1,2
10-15,200,61,10,1.6196467802587375,0.5082257489710988,31,25,0,2,4
10-15,200,62,10,1.89748641304348,0.3757246376811595,17,9,0,1,7
10-15,200,76,12,0.9252198330459205,0.2918918918918919,6,3,0,1,2
10-15,300,1,10,1.1950549450549444,0.6479395604395602,18,12,0,0,6
10-15,300,29,12,0.6709223250096507,0.5081306626906259,24,20,0,0,4
10-15,300,4,10,1.381163681725032,0.4654370489174019,18,14,0,0,4
10-15,300,45,10,1.0723367297166617,0.5101774580800063,23,14,0,1,8
10-15,300,54,11,0.9038990939409733,0.5012434761630998,23,15,0,0,8
10-15,300,61,10,1.460366266740675,0.593916946961983,18,14,0,1,3
10-15,300,62,10,0.7803521655231561,0.1609669811320755,18,9,0,2,7
10-15,300,76,12,1.330782312925169,0.29761904761904756,18,8,0,4,6
30-40,42,15,36,0.5402265697703802,0.2626967431073927,78,66,0,1,11
30-40,42,19,31,0.6751992539361185,0.4705777160816951,37,32,0,0,5
30-40,42,3,32,0.8907772863045451,0.4889641788242752,30,27,0,1,2
30-40,42,32,33,0.41572221192391823,0.2688051265651622,54,46,0,3,5
30-40,42,44,34,0.81188469567782,0.3356584127444817,36,23,0,6,7
30-40,42,50,33,0.5546971103384462,0.2681360092892063,35,22,0,9,4
30-40,42,64,33,0.6806765025759512,0.3378725863386105,30,24,0,2,4
30-40,42,92,30,0.8553393867795489,0.4391811397158991,30,22,0,1,7
30-40,100,15,36,0.3316374686538486,0.23942855855626766,47,39,0,4,4
30-40,100,19,31,1.0238160624979857,0.48974340679604367,24,21,0,1,2
30-40,100,3,32,0.6235042735042734,0.3796875,54,32,9,6,7
30-40,100,32,33,0.4773721048803701,0.23797319245667928,72,51,0,12,9
30-40,100,44,34,0.5242346705581999,0.3277515847651594,36,26,0,4,6
30-40,100,50,33,0.48086304495239546,0.19265237092867785,36,22,0,6,8
30-40,100,64,33,0.6049778179614294,0.34782971787852207,24,19,0,1,4
30-40,100,92,30,0.5909986680881014,0.3512947936601442,27,19,0,2,6
30-40,123,15,36,0.3989764846169165,0.23862071353455075,66,48,0,10,8
30-40,123,19,31,0.8551507245508253,0.39661497571513316,12,6,0,3,3
30-40,123,3,32,0.8542406262221137,0.26668079783119963,66,56,0,3,7
30-40,123,32,33,0.15755301375144576,0.15755301375144576,12,10,0,2,0
30-40,123,44,34,1.7760111017823887,0.3624793643186869,48,37,0,7,4
30-40,123,50,33,0.2874993925096203,0.14677278474528982,89,79,0,6,4
30-40,123,64,33,1.2628470217155798,0.40004130226995077,65,49,0,7,9
30-40,123,92,30,0.8339303436827009,0.2794458268953234,42,26,0,4,12
30-40,200,15,36,0.5291992787729346,0.304703391126028,60,38,0,13,9
30-40,200,19,31,0.6978536690502761,0.4516586543456704,48,35,0,5,8
30-40,200,3,32,5.410858596596187,0.41626453792387197,36,19,0,10,7
30-40,200,32,33,0.6641950593338934,0.28781836402899813,42,24,0,9,9
30-40,200,44,34,1.2958374486670392,0.34167422546249354,64,50,0,6,8
30-40,200,50,33,0.8618841245401322,0.18104285410276605,60,41,0,9,10
30-40,200,64,33,0.6236325265560779,0.3409193946802739,60,45,0,6,9
