band,seed,topo,episode,att_strength,n_valid_events,behavioural_residual_episode,root_owned_departures,final_root_owned_count,root_owned_static_cell
10-15,42,1,0,0.31973930262029177,8,-0.9390243902439028,3,6,8.060975609756097
10-15,42,1,1,0.8148154295049608,8,-0.9390243902439028,3,6,8.060975609756097
10-15,42,1,2,0.3234007145193489,11,0.06097560975609717,1,7,8.060975609756097
10-15,42,1,3,0.7016169194664273,7,1.0609756097560972,1,6,8.060975609756097
10-15,42,1,4,0.6604321487247944,6,-2.939024390243903,4,7,8.060975609756097
10-15,42,1,5,1.0669594179424975,9,-2.939024390243903,4,7,8.060975609756097
10-15,42,29,0,0.9942037143877575,7,-1.0,4,8,11.0
10-15,42,29,1,0.1250228981177012,9,3.0,2,6,11.0
10-15,42,29,2,0.9546011947095394,8,0.0,1,10,11.0
10-15,42,29,3,0.4285980173283153,9,2.0,2,7,11.0
10-15,42,29,4,0.7761989973951131,8,2.0,3,6,11.0
10-15,42,29,5,0.6903451168909669,8,2.0,2,7,11.0
10-15,42,4,0,0.4426827251233838,11,-0.666666666666667,1,6,6.333333333333333
10-15,42,4,1,0.3692551087588072,8,-3.666666666666667,4,6,6.333333333333333
10-15,42,4,2,0.7006486169993877,8,-0.666666666666667,2,5,6.333333333333333
10-15,42,4,3,0.15471447673108846,9,1.333333333333333,1,4,6.333333333333333
10-15,42,4,4,0.47471678256988525,8,0.33333333333333304,2,4,6.333333333333333
10-15,42,4,5,0.47213187542828644,11,1.333333333333333,0,5,6.333333333333333
10-15,42,45,0,0.29284238375046034,11,0.0952380952380949,3,4,7.095238095238095
10-15,42,45,1,0.7101565282791853,8,-0.9047619047619051,4,4,7.095238095238095
10-15,42,45,2,0.2998177781701088,9,0.0952380952380949,2,5,7.095238095238095
10-15,42,45,3,0.19743828144338396,9,0.0952380952380949,3,4,7.095238095238095
10-15,42,45,4,0.46108176973130965,9,0.0952380952380949,4,3,7.095238095238095
10-15,42,45,5,0.27916406840085983,8,-1.904761904761905,2,7,7.095238095238095
10-15,42,54,0,0.3903915613061852,9,2.9666666666666686,1,6,9.966666666666669
10-15,42,54,1,0.43897536562548745,9,0.9666666666666686,1,8,9.966666666666669
10-15,42,54,2,0.48035734466144014,7,2.9666666666666686,1,6,9.966666666666669
10-15,42,54,3,0.8153929837048054,5,-0.03333333333333144,1,9,9.966666666666669
10-15,42,54,4,0.6668390799313784,8,0.9666666666666686,2,7,9.966666666666669
10-15,42,54,5,0.4984708372503519,8,-0.03333333333333144,0,10,9.966666666666669
10-15,42,54,6,0.43522648016611737,9,0.9666666666666686,1,8,9.966666666666669
10-15,42,54,7,0.5825523152947427,5,2.9666666666666686,1,6,9.966666666666669
10-15,42,54,8,0.4252806272771623,9,0.9666666666666686,3,6,9.966666666666669
10-15,42,54,9,0.5630080898602804,9,-1.0333333333333314,2,9,9.966666666666669
10-15,42,54,10,0.24940103664994231,10,-0.03333333333333144,3,7,9.966666666666669
10-15,42,54,11,0.7004891941323876,8,1.9666666666666686,1,7,9.966666666666669
10-15,42,54,12,0.876272072394689,6,1.9666666666666686,2,6,9.966666666666669
10-15,42,54,13,0.4216809773019382,7,-0.03333333333333144,2,8,9.966666666666669
10-15,42,54,14,0.4793270155787468,8,-0.03333333333333144,2,8,9.966666666666669
10-15,42,54,15,0.6956714126798842,9,-0.03333333333333144,0,10,9.966666666666669
10-15,42,54,16,0.4042209322963442,7,-1.0333333333333314,2,9,9.966666666666669
10-15,42,54,17,0.5272200644016266,10,1.9666666666666686,1,7,9.966666666666669
10-15,42,61,0,0.5058098477976662,7,0.05555555555555536,2,6,8.055555555555555
10-15,42,61,1,0.23036339547899035,9,2.0555555555555554,3,3,8.055555555555555
10-15,42,61,2,0.5679250231810978,7,1.0555555555555554,3,4,8.055555555555555
10-15,42,61,3,0.6087368585169315,10,0.05555555555555536,3,5,8.055555555555555
10-15,42,61,4,0.309232912129826,9,2.0555555555555554,1,5,8.055555555555555
10-15,42,61,5,0.3747264062985778,8,-2.9444444444444446,3,8,8.055555555555555
10-15,42,61,6,0.3879078168954168,7,-0.9444444444444446,2,7,8.055555555555555
10-15,42,61,7,0.3098859008815553,9,-0.9444444444444446,1,8,8.055555555555555
10-15,42,61,8,1.1055046368390322,10,2.0555555555555554,0,6,8.055555555555555
10-15,42,61,9,0.3720835531130433,8,-1.9444444444444446,1,9,8.055555555555555
10-15,42,61,10,0.2786490641534328,10,1.0555555555555554,2,5,8.055555555555555
10-15,42,61,11,0.42257050921519596,9,1.0555555555555554,1,6,8.055555555555555
