band,seed,scenario_id,residual,mean_2hop,mean_degree,summed_propagation,property_fraction
10-15,42,1,0.6696712619300103,3.4885310343699762,2.5225331345939774,-1.987487081106887,0.36291456069832484
10-15,42,29,1.3333333333333333,4.480065359477124,2.6462009803921567,-2.807392905143691,0.3874564019243923
10-15,42,4,-0.33333333333333365,1.9381209068709069,1.5296384171384172,-2.214468922588518,0.29273933276660763
10-15,42,45,-0.4047619047619051,2.7544992997198876,2.379580999066293,-3.6135940075631274,0.30709856810696196
10-15,42,54,0.8000000000000002,4.323718359813561,2.845730315293009,-2.455435585187783,0.35352656040524855
10-15,42,61,0.5555555555555554,3.1729347041847045,2.545951301557919,-2.103951672267235,0.36728048717889866
10-15,42,62,-0.21969696969697003,1.8571014633514633,1.8861862674362675,-2.973700650333439,0.3462531952558998
10-15,42,76,-0.10869565217391304,2.4185777599780156,2.1198166780647596,-2.5371786446357083,0.3292137258666278
10-15,100,1,0.7430555555555556,3.195760312672077,2.4957191637338694,-1.861571772497176,0.36433814886666005
10-15,100,4,0.30555555555555536,1.6545325181354593,1.667989118724413,-1.8070694295680976,0.3193330074792628
10-15,100,54,1.4666666666666661,3.5059546451284067,2.6557437853683985,-2.1782706643137626,0.3280961438728314
10-15,100,61,-0.19300106044538792,2.877518825082427,2.3490272414353717,-2.3062847015123182,0.3447383556481564
10-15,100,62,0.042572463768115645,1.8540660745903714,1.933794956109534,-2.7621134622620405,0.3376992240246294
10-15,100,76,-0.3611111111111107,1.975405354449472,2.0048281171442937,-2.0730425220293327,0.3631385789013306
10-15,123,1,0.15300896286811863,3.7274598507553054,2.566151651378924,-1.624005309960674,0.36009075955570297
10-15,123,4,0.31977401129943545,1.5936396936396937,1.5040384615384614,-2.06656292093006,0.31426844471919674
10-15,123,45,-0.7962962962962967,2.4805999964088197,1.9819778873087694,-2.013037829362778,0.3434780494855347
10-15,123,54,0.2833333333333332,4.410241147741147,2.9725579975579977,-1.7890220254424403,0.3923276291263669
10-15,123,61,0.44444444444444386,2.924128839570016,2.250527753836577,-2.4669645744482676,0.3452432354812338
10-15,123,62,-0.6666666666666666,2.1188025210084036,2.0141806722689077,-2.1904732611552995,0.36618358397186723
10-15,123,76,-0.09999999999999988,1.9900969280690644,1.9204041333336999,-2.0397575684301956,0.3393390796645143
10-15,200,1,1.3863636363636365,2.282329822954823,1.7593406593406593,-2.5286905947814384,0.3376635421311529
10-15,200,29,0.9537037037037042,4.155923663324979,2.954875034809245,-1.9797152278936923,0.3335495568053708
10-15,200,4,-0.1136363636363636,2.016537744662745,1.8771227614977615,-1.1835935681835206,0.35534628292833753
10-15,200,45,-0.29166666666666696,2.20864668348221,1.818455216094535,-3.1606542302667244,0.35644106294348127
10-15,200,54,1.0277777777777777,3.95275054466231,2.7948133293721527,-2.5432148960253027,0.33044446063767596
10-15,200,61,0.48602150537634387,3.055404989275957,2.351595850386173,-1.7174791915194587,0.3429481191798441
10-15,200,62,-0.2941176470588239,1.7631132468070183,1.9411664892201226,-2.658798051099442,0.3375286187314534
10-15,200,76,-0.0740740740740744,2.3474673202614382,2.252170868347339,-2.5152137158123273,0.31221406818683733
10-15,300,1,0.3888888888888895,3.9730318020759197,2.3277363567804747,-2.2792013096590784,0.3614446463740432
10-15,300,29,1.5277777777777775,4.050318862925287,2.5641526457074058,-2.226134782681132,0.3339488190310799
10-15,300,4,0.34920634920634896,1.9026414943081609,1.6182283765617098,-2.114910162731477,0.31628278651814246
10-15,300,45,0.14814814814814792,2.4930089092493186,2.141924177697835,-2.6894127994258743,0.33912603370659566
10-15,300,54,0.6897568165070002,4.212722848336659,2.717042452432478,-2.043515634456328,0.35279164937436175
10-15,300,61,0.7103174603174607,2.949847884600207,2.226696262686975,-2.036341770535122,0.3431779863170192
10-15,300,62,0.4126984126984126,1.929983904983905,2.0032534595034597,-1.8419642221150656,0.35240734658826983
10-15,300,76,-0.09999999999999964,2.765836478336478,2.1737360769223515,-1.4187869250357228,0.32450431866644813
30-40,42,15,3.1318681318681323,4.936811828105239,1.9801353257925474,-2.9617760430062217,0.33333212230152415
30-40,42,19,1.7967342342342356,4.420677434365347,1.838828152719659,-3.694909377150029,0.3297393398357046
30-40,42,3,2.725925925925925,5.187566441550154,2.1570392220799746,-4.188331349128417,0.31909287890244575
30-40,42,32,3.2728860936408095,4.805656162880442,2.0007127776104086,-3.065105922513618,0.34469190685408996
30-40,42,44,1.2841880341880332,4.716427120319449,1.9871084670355827,-3.886887589159452,0.33733181961940706
30-40,42,50,1.221563342318058,3.924136765933057,1.808053810318247,-3.8244183835048604,0.3132580873760311
30-40,42,64,1.5666666666666678,4.00459794779387,1.6538256606181292,-2.9729844016205487,0.3246584065077871
30-40,42,92,1.8666666666666667,3.7823607048440806,1.6403187469888911,-3.565609725295144,0.32604788174769067
30-40,100,15,2.9081473793461345,3.9272594486098993,1.6512048394920793,-2.6169038113858303,0.32976637989756735
