band,seed,scenario_id,episode,residual,mean_2hop,mean_degree,summed_propagation,property_fraction,n_structure_events,n_degree_defined
10-15,100,1,0,1.1875,2.3333333333333335,2.066666666666667,-2.66685929401865,0.3548387096774194,15,15
10-15,100,1,1,0.1875,3.875,2.9375,-0.7218257827917113,0.2894736842105263,16,16
10-15,100,1,2,-1.8125,2.2666666666666666,1.8666666666666667,-2.0789003974059597,0.4230769230769231,15,15
10-15,100,1,3,4.1875,1.7692307692307692,1.4615384615384615,-0.33369889284949755,0.3235294117647059,13,13
10-15,100,1,4,2.1875,2.9166666666666665,2.75,-0.3593427751620764,0.4074074074074074,12,12
10-15,100,1,5,1.1875,4.615384615384615,4.461538461538462,-0.6670933921705,0.3235294117647059,13,13
10-15,100,1,6,0.1875,3.0,1.8333333333333333,-3.9954417243789124,0.34375,18,18
10-15,100,1,7,3.1875,3.5714285714285716,2.857142857142857,-2.3514152554853354,0.39285714285714285,14,14
10-15,100,1,8,2.1875,2.6470588235294117,2.7058823529411766,-5.215421805100051,0.36666666666666664,17,17
10-15,100,1,9,1.1875,3.0,2.7857142857142856,-0.7607872794033028,0.3235294117647059,14,14
10-15,100,1,10,-0.8125,5.0,3.6153846153846154,-1.3036623539519496,0.39285714285714285,13,13
10-15,100,1,11,-1.8125,3.2941176470588234,2.4705882352941178,-3.038991757435726,0.3548387096774194,17,17
10-15,100,1,12,2.1875,3.0,2.3076923076923075,-0.9509419730457012,0.4230769230769231,13,13
10-15,100,1,13,0.1875,4.071428571428571,2.4285714285714284,-2.1494744396768652,0.3055555555555556,14,14
10-15,100,1,14,-1.8125,4.384615384615385,3.0,-3.05927596534093,0.4782608695652174,13,13
10-15,100,1,15,-0.8125,2.769230769230769,1.8461538461538463,-0.2383176254224962,0.36666666666666664,13,13
10-15,100,1,16,1.1875,2.8666666666666667,1.6,-0.5333831321913751,0.3333333333333333,15,15
10-15,100,1,17,1.1875,2.142857142857143,1.9285714285714286,-3.0834580591181293,0.3548387096774194,14,14
10-15,100,4,0,0.30555555555555536,1.3571428571428572,1.5714285714285714,-1.6853389410243833,0.34375,14,14
10-15,100,4,1,2.3055555555555554,2.230769230769231,1.8461538461538463,-0.10131028019532089,0.36666666666666664,13,13
10-15,100,4,2,0.30555555555555536,1.1538461538461537,1.0769230769230769,-0.9166379337839318,0.4074074074074074,13,13
10-15,100,4,3,2.3055555555555554,0.8235294117647058,0.8823529411764706,-3.1842926128665563,0.3055555555555556,17,17
10-15,100,4,4,-0.6944444444444446,1.7692307692307692,1.8461538461538463,-2.363786389643792,0.2857142857142857,13,13
10-15,100,4,5,-0.6944444444444446,1.625,1.75,-3.1137198853248265,0.34375,16,16
10-15,100,4,6,0.30555555555555536,1.3846153846153846,1.2307692307692308,-0.97830818631337,0.3225806451612903,13,13
10-15,100,4,7,0.30555555555555536,2.0,1.6428571428571428,-2.4026938318274915,0.2727272727272727,14,14
10-15,100,4,8,0.30555555555555536,1.8461538461538463,2.4615384615384617,-1.3785116078797728,0.30303030303030304,13,13
10-15,100,4,9,-0.6944444444444446,1.9333333333333333,2.066666666666667,-2.408725155524735,0.2558139534883721,15,15
10-15,100,4,10,0.30555555555555536,1.5,1.3333333333333333,-2.229092880617827,0.28125,12,12
10-15,100,4,11,-0.6944444444444446,2.230769230769231,2.3076923076923075,-0.9224154498151619,0.34375,13,13
10-15,100,54,0,-1.6166666666666671,3.4210526315789473,2.6315789473684212,-5.77476724439476,0.27906976744186046,19,19
10-15,100,54,1,1.3833333333333329,4.5625,3.0625,-2.0879648402769817,0.3333333333333333,16,16
10-15,100,54,2,3.383333333333333,1.8,1.5333333333333334,-2.92288634837314,0.3333333333333333,15,15
10-15,100,54,3,2.383333333333333,3.0,1.6875,-1.339601016465167,0.32432432432432434,16,16
10-15,100,54,4,2.383333333333333,4.5,2.5,0.3064387961931061,0.35294117647058826,12,12
10-15,100,54,5,0.38333333333333286,2.9375,2.3125,-3.0543798335129395,0.3793103448275862,16,16
10-15,100,54,6,3.383333333333333,3.2142857142857144,2.857142857142857,-1.787035477871541,0.3142857142857143,14,14
10-15,100,54,7,3.383333333333333,2.6875,2.5625,-1.4216759301925774,0.34285714285714286,16,16
10-15,100,54,8,1.3833333333333329,3.8666666666666667,2.533333333333333,-0.9328638403094367,0.27906976744186046,15,15
10-15,100,54,9,0.38333333333333286,3.2222222222222223,3.3333333333333335,-2.284841149004933,0.35294117647058826,18,18
10-15,100,54,10,0.38333333333333286,5.153846153846154,3.3846153846153846,-2.739510209597939,0.28205128205128205,13,13
10-15,100,54,11,0.38333333333333286,3.7058823529411766,3.4705882352941178,-2.1001608779588428,0.36363636363636365,17,17
10-15,100,61,0,0.024390243902438158,2.8,2.8,-2.1194726282556076,0.36666666666666664,15,15
10-15,100,61,1,-0.9756097560975618,5.083333333333333,4.0,-1.3761913504276888,0.39285714285714285,12,12
10-15,100,61,2,2.024390243902438,3.5,2.9285714285714284,-2.337808378964837,0.3333333333333333,14,14
10-15,100,61,3,-0.9756097560975618,2.857142857142857,2.2857142857142856,-1.0783176160111925,0.3333333333333333,14,14
10-15,100,61,4,-1.9756097560975618,4.357142857142857,2.5,-0.6484219226113066,0.3548387096774194,14,14
10-15,100,61,5,1.0243902439024382,3.2,2.4,0.13985933869844283,0.3448275862068966,10,10
10-15,100,61,6,0.024390243902438158,3.1818181818181817,2.5454545454545454,-1.5026152773643844,0.375,11,11
10-15,100,61,7,2.024390243902438,2.0555555555555554,1.8333333333333333,-3.521620327315759,0.3142857142857143,18,18
10-15,100,61,8,-1.9756097560975618,3.2142857142857144,1.7142857142857142,-4.120481215708423,0.2777777777777778,14,14
10-15,100,61,9,-0.9756097560975618,2.2666666666666666,1.8,-4.341410311462823,0.3125,15,15
10-15,100,61,10,-0.9756097560975618,2.764705882352941,2.411764705882353,-6.322154236782808,0.2972972972972973,17,17
10-15,100,61,11,-0.9756097560975618,2.7142857142857144,2.357142857142857,-1.9728123646782476,0.3448275862068966,14,14
10-15,100,61,12,2.024390243902438,2.0,1.7058823529411764,-2.010219455631159,0.3548387096774194,17,17
10-15,100,61,13,0.024390243902438158,3.3333333333333335,3.3333333333333335,-3.326984874704067,0.3125,12,12
10-15,100,61,14,-2.975609756097562,3.933333333333333,2.6,-2.9993485282175243,0.44,15,15
10-15,100,61,15,1.0243902439024382,2.0714285714285716,2.2142857142857144,-0.8799476098211014,0.2894736842105263,14,14
10-15,100,61,16,1.0243902439024382,3.272727272727273,2.1818181818181817,-0.4199781990391783,0.30303030303030304,11,11
10-15,100,61,17,0.024390243902438158,2.0526315789473686,2.3684210526315788,-5.846812160294576,0.3235294117647059,19,19
10-15,100,61,18,-1.9756097560975618,1.9,1.0,-1.5996031742542982,0.2692307692307692,10,10
10-15,100,61,19,2.024390243902438,2.0,2.4,-1.1004129418288227,0.36666666666666664,15,15
10-15,100,61,20,-2.975609756097562,2.076923076923077,2.0,-3.1660558605144615,0.45,13,13
10-15,100,61,21,0.024390243902438158,2.3333333333333335,1.9333333333333333,-1.310747320865631,0.39285714285714285,15,15
10-15,100,61,22,1.0243902439024382,3.2142857142857144,2.7142857142857144,-1.1829917187278622,0.3793103448275862,14,14
10-15,100,62,0,0.520833333333333,0.5714285714285714,0.6428571428571429,-2.8887483991857152,0.3333333333333333,14,14
10-15,100,62,1,1.520833333333333,0.8,1.5333333333333334,-2.792390016838908,0.3548387096774194,15,15
10-15,100,62,2,0.520833333333333,1.5,1.8571428571428572,-3.6867132769548334,0.2647058823529412,14,14
10-15,100,62,3,-0.47916666666666696,2.1176470588235294,1.6470588235294117,-4.938662673404906,0.3333333333333333,17,17
10-15,100,62,4,0.520833333333333,1.5333333333333334,1.8,-1.5225780518376268,0.3235294117647059,15,15
10-15,100,62,5,0.520833333333333,1.8,1.7333333333333334,-1.3485838600900022,0.39285714285714285,15,15
10-15,100,62,6,1.520833333333333,2.076923076923077,2.3846153846153846,-2.404892200866016,0.3333333333333333,13,13
10-15,100,62,7,-1.479166666666667,2.0714285714285716,2.0714285714285716,-3.303768105106428,0.34375,14,14
10-15,100,62,8,1.520833333333333,0.5882352941176471,1.1764705882352942,-4.971387364610564,0.3548387096774194,17,17
10-15,100,62,9,-0.47916666666666696,2.769230769230769,2.6153846153846154,-1.7152415128657594,0.5,13,13
10-15,100,62,10,0.520833333333333,2.533333333333333,2.7333333333333334,-2.1884994756110245,0.3548387096774194,15,15
10-15,100,62,11,0.520833333333333,2.4,2.4,-2.469849781715311,0.3793103448275862,15,15
10-15,100,62,12,-0.47916666666666696,2.0833333333333335,1.75,-2.0029958575833002,0.3333333333333333,12,12
10-15,100,62,13,0.520833333333333,1.4285714285714286,2.0,-1.688070775475353,0.2564102564102564,14,14
10-15,100,62,14,0.520833333333333,2.4,2.466666666666667,-3.5093381183687593,0.2894736842105263,15,15
10-15,100,62,15,-2.479166666666667,3.5,3.0,-2.5487847151816823,0.39285714285714285,14,14
