stage,seed,stop,pre,fin,delta_pct,within,cell_mean_abs,cell_n_within,cell_need,cell_converged
1,42,253952,13265.179850260416,13372.224202473959,0.8069574134831006,True,3.368765385612792,5,4,True
1,100,253952,13399.306477864584,14056.668701171875,4.905942142552242,True,3.368765385612792,5,4,True
1,123,253952,16828.566487630207,17309.046061197918,2.8551426166981364,True,3.368765385612792,5,4,True
1,200,253952,15534.480305989584,14829.394856770834,-4.538841566182889,True,3.368765385612792,5,4,True
1,300,253952,13919.297770182291,14439.454020182291,3.7369431891475937,True,3.368765385612792,5,4,True
2,42,253952,15900.173258463541,16771.655843098957,5.480962820147463,False,3.2541588409040174,3,4,False
2,100,253952,13956.00244140625,15230.638997395834,9.133249734951663,False,3.2541588409040174,3,4,False
2,123,253952,17834.760416666668,17876.269856770832,0.23274459053216925,True,3.2541588409040174,3,4,False
2,200,253952,14756.398030598959,14769.861165364584,0.0912359150092574,True,3.2541588409040174,3,4,False
2,300,253952,14411.832600911459,14603.884847005209,1.3326011438795362,True,3.2541588409040174,3,4,False
3,42,253952,16600.0654296875,17403.37451171875,4.839192263631773,True,3.3910604401103845,4,4,True
3,100,253952,16188.535725911459,15229.911458333334,-5.921624313703344,False,3.3910604401103845,4,4,True
3,123,253952,17268.142578125,17020.513264973957,-1.4340240244757745,True,3.3910604401103845,4,4,True
3,200,253952,15421.984456380209,15865.742838541666,2.8774402115148705,True,3.3910604401103845,4,4,True
3,300,253952,14290.098551432291,14021.012939453125,-1.8830213872261623,True,3.3910604401103845,4,4,True
4,42,253952,17161.455078125,16600.889078776043,-3.2664246522049725,True,3.753029776610601,4,4,True
4,100,253952,16662.776123046875,16360.404947916666,-1.8146506494316312,True,3.753029776610601,4,4,True
4,123,253952,17887.70361328125,17660.448893229168,-1.2704521774575368,True,3.753029776610601,4,4,True
4,200,253952,16816.924967447918,14885.40478515625,-11.485572933401683,False,3.753029776610601,4,4,True
4,300,253952,14667.0869140625,14803.20458984375,0.9280484705571846,True,3.753029776610601,4,4,True
5,42,253952,17187.572591145832,17555.210123697918,2.138972973655826,True,2.2745708308447674,4,4,True
5,100,253952,16271.44677734375,17224.386393229168,5.85651435256688,False,2.2745708308447674,4,4,True
5,123,253952,18304.429036458332,18651.18798828125,1.894399170453509,True,2.2745708308447674,4,4,True
5,200,253952,17040.816731770832,16813.94140625,-1.3313641540305206,True,2.2745708308447674,4,4,True
5,300,253952,15452.273600260416,15475.699788411459,0.15160350351710106,True,2.2745708308447674,4,4,True
6,42,253952,17207.482747395832,17715.109212239582,2.950033263410209,True,2.0283490758337925,5,4,True
6,100,253952,15686.341471354166,15991.591064453125,1.9459578491032774,True,2.0283490758337925,5,4,True
6,123,253952,19094.336100260418,18655.898111979168,-2.296167753511317,True,2.0283490758337925,5,4,True
6,200,253952,17178.69775390625,16678.707600911457,-2.9105241861601563,True,2.0283490758337925,5,4,True
6,300,253952,14790.690511067709,14784.912923177084,-0.03906232698400183,True,2.0283490758337925,5,4,True
7,42,253952,18114.782877604168,17829.21044921875,-1.5764606747701038,True,1.076003974537457,5,4,True
7,100,253952,16908.853190104168,16918.565104166668,0.05743685839193314,True,1.076003974537457,5,4,True
7,123,253952,18858.001302083332,18465.89013671875,-2.0792827356590737,True,1.076003974537457,5,4,True
7,200,253952,16636.392822265625,16705.774739583332,0.41704904457923436,True,1.076003974537457,5,4,True
7,300,253952,15232.995035807291,15423.375569661459,1.2497905592869407,True,1.076003974537457,5,4,True
