metric,representation,churn,seed,value
deterministic_100ep_last_checkpoint,local,dynamic,42,0.5376825396825398
deterministic_100ep_last_checkpoint,local,dynamic,100,0.5782431457431458
deterministic_100ep_last_checkpoint,local,dynamic,123,0.5448636363636363
deterministic_100ep_last_checkpoint,local,dynamic,200,0.5558253968253968
deterministic_100ep_last_checkpoint,local,dynamic,300,0.5654285714285714
deterministic_100ep_last_checkpoint,local,static,42,0.885
deterministic_100ep_last_checkpoint,local,static,100,0.88375
deterministic_100ep_last_checkpoint,local,static,123,0.89375
deterministic_100ep_last_checkpoint,local,static,200,0.885
deterministic_100ep_last_checkpoint,local,static,300,0.88875
deterministic_100ep_last_checkpoint,compressed,dynamic,42,0.5819761904761905
deterministic_100ep_last_checkpoint,compressed,dynamic,100,0.5729563492063492
deterministic_100ep_last_checkpoint,compressed,dynamic,123,0.5636666666666666
deterministic_100ep_last_checkpoint,compressed,dynamic,200,0.5838333333333332
deterministic_100ep_last_checkpoint,compressed,dynamic,300,0.5923441558441558
deterministic_100ep_last_checkpoint,compressed,static,42,0.88125
deterministic_100ep_last_checkpoint,compressed,static,100,0.88625
deterministic_100ep_last_checkpoint,compressed,static,123,0.8775
deterministic_100ep_last_checkpoint,compressed,static,200,0.86375
deterministic_100ep_last_checkpoint,compressed,static,300,0.8875
training_curve_auc,local,dynamic,42,0.49031045997790135
training_curve_auc,local,dynamic,100,0.4915362726133622
training_curve_auc,local,dynamic,123,0.49423170039338654
training_curve_auc,local,dynamic,200,0.4859268997689007
training_curve_auc,local,dynamic,300,0.4846620324370547
training_curve_auc,local,static,42,0.7916666728398595
training_curve_auc,local,static,100,0.7912112999799066
training_curve_auc,local,static,123,0.7953096602386871
training_curve_auc,local,static,200,0.7989526472710928
training_curve_auc,local,static,300,0.7903005526111019
training_curve_auc,compressed,dynamic,42,0.6206971009368779
training_curve_auc,compressed,dynamic,100,0.6187808003704078
training_curve_auc,compressed,dynamic,123,0.6148432608632768
training_curve_auc,compressed,dynamic,200,0.6233163853404952
training_curve_auc,compressed,dynamic,300,0.617280618577707
training_curve_auc,compressed,static,42,0.8846766917554082
training_curve_auc,compressed,static,100,0.883196728212423
training_curve_auc,compressed,static,123,0.886498185271611
training_curve_auc,compressed,static,200,0.8838797882809991
training_curve_auc,compressed,static,300,0.8811475480677652
test_data_auc,local,dynamic,42,0.4197733134920635
test_data_auc,local,dynamic,100,0.42308912337662336
test_data_auc,local,dynamic,123,0.42653418109668106
test_data_auc,local,dynamic,200,0.4123025432900433
test_data_auc,local,dynamic,300,0.43359608585858583
test_data_auc,local,static,42,0.76465625
test_data_auc,local,static,100,0.76715625
test_data_auc,local,static,123,0.76540625
test_data_auc,local,static,200,0.7668125000000001
test_data_auc,local,static,300,0.76559375
test_data_auc,compressed,dynamic,42,0.5539931457431457
test_data_auc,compressed,dynamic,100,0.5462859126984128
test_data_auc,compressed,dynamic,123,0.5541425865800866
test_data_auc,compressed,dynamic,200,0.5456992965367966
test_data_auc,compressed,dynamic,300,0.547571103896104
test_data_auc,compressed,static,42,0.8469999999999999
test_data_auc,compressed,static,100,0.8469374999999999
test_data_auc,compressed,static,123,0.8475937499999999
test_data_auc,compressed,static,200,0.8436562500000001
test_data_auc,compressed,static,300,0.8491875
