N,seed,num_nodes,knows_deg,access_deg,dos_deg,num_vulns
30,42,30,27.066666666666666,23.4,26.866666666666667,762
30,100,30,25.0,18.2,22.4,292
30,123,30,26.133333333333333,23.4,28.6,1044
30,200,30,26.6,25.133333333333333,28.6,410
30,300,30,25.866666666666667,21.666666666666668,28.333333333333332,342
60,42,60,37.7,39.0,52.5,960
60,100,60,29.166666666666668,48.8,48.8,814
60,123,60,32.56666666666667,51.233333333333334,53.0,567
60,200,60,35.9,53.266666666666666,39.166666666666664,876
60,300,60,29.833333333333332,30.1,45.86666666666667,672
