agent_cond,seed,eval_cond,scenario_id,topology_id,episode,root_owned,reachable,n_discovered,won,score
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,0,19,59,48,0,0.3220338983050847
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,1,21,52,43,0,0.40384615384615385
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,2,25,55,52,0,0.45454545454545453
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,3,22,59,47,0,0.3728813559322034
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,4,27,54,45,0,0.5
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,5,24,56,49,0,0.42857142857142855
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,6,26,62,59,0,0.41935483870967744
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,7,20,53,50,0,0.37735849056603776
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,8,27,59,54,0,0.4576271186440678
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,9,26,61,52,0,0.4262295081967213
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,10,30,60,48,0,0.5
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,11,24,59,56,0,0.4067796610169492
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,12,24,58,54,0,0.41379310344827586
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,13,21,58,50,0,0.3620689655172414
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,14,26,58,47,0,0.4482758620689655
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,15,26,55,45,0,0.4727272727272727
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,16,18,54,50,0,0.3333333333333333
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,17,23,58,56,0,0.39655172413793105
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,18,17,48,44,0,0.3541666666666667
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,19,29,53,50,0,0.5471698113207547
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,20,19,52,39,0,0.36538461538461536
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,21,26,60,54,0,0.43333333333333335
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,22,19,63,50,0,0.30158730158730157
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,23,23,59,44,0,0.3898305084745763
static,42,membership_matched,._graphs_yprobe_n90_2026-08-03_02-10-10_1,./graphs_yprobe_n90_2026-08-03_02-10-10/1,24,27,54,50,0,0.5
