agent_cond,seed,eval_cond,scenario_id,topology_id,episode,root_owned,reachable,n_discovered,won,score
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,0,11,20,18,0,0.55
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,1,12,20,18,0,0.6
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,2,12,22,20,0,0.5454545454545454
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,3,12,19,15,0,0.631578947368421
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,4,14,20,18,0,0.7
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,5,13,20,18,0,0.65
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,6,13,17,15,0,0.7647058823529411
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,7,9,17,15,0,0.5294117647058824
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,8,15,22,20,0,0.6818181818181818
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,9,13,19,16,0,0.6842105263157895
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,10,13,19,17,0,0.6842105263157895
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,11,13,20,15,0,0.65
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,12,14,20,17,0,0.7
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,13,9,15,12,0,0.6
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,14,14,22,20,0,0.6363636363636364
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,15,12,19,17,0,0.631578947368421
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,16,15,22,19,0,0.6818181818181818
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,17,14,18,16,0,0.7777777777777778
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,18,14,22,19,0,0.6363636363636364
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,19,15,21,19,0,0.7142857142857143
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,20,14,19,15,0,0.7368421052631579
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,21,8,15,13,0,0.5333333333333333
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,22,15,21,19,0,0.7142857142857143
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,23,10,20,15,0,0.5
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,24,15,22,19,0,0.6818181818181818
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,25,16,22,20,0,0.7272727272727273
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,26,14,20,17,0,0.7
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,27,16,22,20,0,0.7272727272727273
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,28,9,14,12,0,0.6428571428571429
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,29,12,18,15,0,0.6666666666666666
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,30,9,16,14,0,0.5625
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,31,8,17,14,0,0.47058823529411764
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,32,11,24,18,0,0.4583333333333333
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,33,15,21,19,0,0.7142857142857143
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,34,10,17,16,0,0.5882352941176471
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,35,13,22,20,0,0.5909090909090909
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,36,13,21,18,0,0.6190476190476191
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,37,10,16,16,0,0.625
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,38,15,23,20,0,0.6521739130434783
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,39,15,23,20,0,0.6521739130434783
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,40,11,18,14,0,0.6111111111111112
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,41,12,19,17,0,0.631578947368421
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,42,12,18,16,0,0.6666666666666666
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,43,11,19,16,0,0.5789473684210527
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,44,12,19,18,0,0.631578947368421
static,200,membership_matched,._graphs_yN30_s200_2026-08-05_21-17-46_1,./graphs_yN30_s200_2026-08-05_21-17-46/1,45,11,17,13,0,0.6470588235294118
