agent_cond,seed,eval_cond,scenario_id,topology_id,episode,root_owned,reachable,n_discovered,won,score
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,0,19,27,30,0,0.7037037037037037
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,1,21,27,30,0,0.7777777777777778
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,2,19,27,30,0,0.7037037037037037
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,3,22,27,30,0,0.8148148148148148
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,4,18,27,30,0,0.6666666666666666
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,5,21,27,30,0,0.7777777777777778
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,6,21,27,30,0,0.7777777777777778
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,7,19,27,30,0,0.7037037037037037
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,8,20,27,30,0,0.7407407407407407
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,9,22,27,30,0,0.8148148148148148
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,10,19,27,30,0,0.7037037037037037
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,11,18,27,30,0,0.6666666666666666
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,12,21,27,29,0,0.7777777777777778
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,13,22,27,30,0,0.8148148148148148
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,14,21,27,30,0,0.7777777777777778
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,15,21,27,30,0,0.7777777777777778
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,16,20,27,30,0,0.7407407407407407
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,17,23,27,30,0,0.8518518518518519
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,18,18,27,26,0,0.6666666666666666
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,19,21,27,29,0,0.7777777777777778
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,20,22,27,30,0,0.8148148148148148
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,21,20,27,30,0,0.7407407407407407
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,22,23,27,29,0,0.8518518518518519
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,23,20,27,30,0,0.7407407407407407
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,24,22,27,29,0,0.8148148148148148
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,25,22,27,30,0,0.8148148148148148
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,26,22,27,30,0,0.8148148148148148
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,27,20,27,30,0,0.7407407407407407
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,28,23,27,30,0,0.8518518518518519
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,29,19,27,30,0,0.7037037037037037
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,30,20,27,30,0,0.7407407407407407
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,31,19,27,28,0,0.7037037037037037
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,32,17,27,30,0,0.6296296296296297
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,33,19,27,30,0,0.7037037037037037
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,34,17,27,30,0,0.6296296296296297
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,35,15,27,30,0,0.5555555555555556
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,36,23,27,30,0,0.8518518518518519
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,37,16,27,28,0,0.5925925925925926
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,38,22,27,30,0,0.8148148148148148
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,39,19,27,30,0,0.7037037037037037
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,40,24,27,30,0,0.8888888888888888
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,41,22,27,30,0,0.8148148148148148
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,42,18,27,30,0,0.6666666666666666
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,43,20,27,30,0,0.7407407407407407
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,44,18,27,29,0,0.6666666666666666
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,45,20,27,30,0,0.7407407407407407
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,46,23,27,30,0,0.8518518518518519
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,47,22,27,30,0,0.8148148148148148
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,48,20,27,30,0,0.7407407407407407
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,49,19,27,28,0,0.7037037037037037
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,50,19,27,29,0,0.7037037037037037
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,51,21,27,30,0,0.7777777777777778
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,52,24,27,30,0,0.8888888888888888
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,53,17,27,30,0,0.6296296296296297
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,54,16,27,30,0,0.5925925925925926
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,55,23,27,30,0,0.8518518518518519
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,56,19,27,30,0,0.7037037037037037
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,57,21,27,29,0,0.7777777777777778
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,58,12,27,30,0,0.4444444444444444
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,59,22,27,29,0,0.8148148148148148
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,60,24,27,30,0,0.8888888888888888
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,61,21,27,30,0,0.7777777777777778
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,62,23,27,30,0,0.8518518518518519
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,63,22,27,30,0,0.8148148148148148
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,64,22,27,29,0,0.8148148148148148
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,65,21,27,30,0,0.7777777777777778
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,66,20,27,29,0,0.7407407407407407
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,67,18,27,29,0,0.6666666666666666
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,68,21,27,30,0,0.7777777777777778
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,69,21,27,30,0,0.7777777777777778
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,70,19,27,30,0,0.7037037037037037
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,71,21,27,30,0,0.7777777777777778
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,72,24,27,30,0,0.8888888888888888
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,73,22,27,29,0,0.8148148148148148
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,74,20,27,30,0,0.7407407407407407
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,75,21,27,30,0,0.7777777777777778
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,76,22,27,30,0,0.8148148148148148
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,77,18,27,30,0,0.6666666666666666
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,78,22,27,30,0,0.8148148148148148
static,300,static,._graphs_yN30_s300_2026-08-05_21-18-13_1,./graphs_yN30_s300_2026-08-05_21-18-13/1,79,22,27,28,0,0.8148148148148148
