agent_cond,seed,eval_cond,scenario_id,topology_id,episode,root_owned,reachable,n_discovered,won,score
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,0,21,73,64,0,0.2876712328767123
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,1,29,73,59,0,0.3972602739726027
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,2,32,73,84,0,0.4383561643835616
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,3,32,73,76,0,0.4383561643835616
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,4,22,73,57,0,0.3013698630136986
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,5,25,73,76,0,0.3424657534246575
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,6,24,73,80,0,0.3287671232876712
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,7,28,73,82,0,0.3835616438356164
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,8,26,73,67,0,0.3561643835616438
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,9,0,73,1,0,0.0
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,10,23,73,71,0,0.3150684931506849
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,11,25,73,77,0,0.3424657534246575
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,12,28,73,88,0,0.3835616438356164
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,13,25,73,67,0,0.3424657534246575
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,14,27,73,82,0,0.3698630136986301
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,15,27,73,79,0,0.3698630136986301
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,16,25,73,86,0,0.3424657534246575
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,17,32,73,79,0,0.4383561643835616
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,18,28,73,67,0,0.3835616438356164
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,19,26,73,77,0,0.3561643835616438
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,20,25,73,78,0,0.3424657534246575
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,21,20,73,77,0,0.273972602739726
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,22,23,73,64,0,0.3150684931506849
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,23,23,73,76,0,0.3150684931506849
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,24,20,73,83,0,0.273972602739726
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,25,29,73,82,0,0.3972602739726027
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,26,27,73,81,0,0.3698630136986301
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,27,34,73,76,0,0.4657534246575342
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,28,25,73,79,0,0.3424657534246575
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,29,26,73,88,0,0.3561643835616438
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,30,15,73,63,0,0.2054794520547945
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,31,27,73,77,0,0.3698630136986301
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,32,21,73,57,0,0.2876712328767123
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,33,30,73,84,0,0.410958904109589
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,34,19,73,61,0,0.2602739726027397
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,35,27,73,71,0,0.3698630136986301
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,36,29,73,78,0,0.3972602739726027
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,37,28,73,69,0,0.3835616438356164
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,38,27,73,83,0,0.3698630136986301
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,39,28,73,81,0,0.3835616438356164
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,40,29,73,83,0,0.3972602739726027
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,41,19,73,70,0,0.2602739726027397
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,42,29,73,79,0,0.3972602739726027
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,43,26,73,78,0,0.3561643835616438
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,44,26,73,87,0,0.3561643835616438
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,45,0,73,1,0,0.0
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,46,21,73,66,0,0.2876712328767123
static,123,static,._graphs_yprobe_n90_s123_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s123_2026-08-03_08-38-04/1,47,29,73,78,0,0.3972602739726027
