arm,band_topo,seed,eval_cond,episode,root_owned,reachable,n_discovered,won,score
1,scalability_30_40_44,123,membership,0,16,26,24,0,0.6153846153846154
1,scalability_30_40_44,123,membership,1,17,22,20,0,0.7727272727272727
1,scalability_30_40_44,123,membership,2,10,20,18,0,0.5
1,scalability_30_40_44,123,membership,3,16,22,20,0,0.7272727272727273
1,scalability_30_40_44,123,membership,4,6,20,9,0,0.3
1,scalability_30_40_44,123,membership,5,15,23,22,0,0.6521739130434783
1,scalability_30_40_44,123,membership,6,19,25,23,0,0.76
1,scalability_30_40_44,123,membership,7,16,25,23,0,0.64
1,scalability_30_40_44,123,membership,8,17,22,20,0,0.7727272727272727
1,scalability_30_40_44,123,membership,9,19,24,22,0,0.7916666666666666
1,scalability_30_40_44,123,membership,10,16,22,20,0,0.7272727272727273
1,scalability_30_40_44,123,membership,11,17,23,21,0,0.7391304347826086
1,scalability_30_40_44,123,membership,12,18,25,23,0,0.72
1,scalability_30_40_44,123,membership,13,14,24,22,0,0.5833333333333334
1,scalability_30_40_44,123,membership,14,15,24,22,0,0.625
1,scalability_30_40_44,123,membership,15,13,22,20,0,0.5909090909090909
1,scalability_30_40_44,123,membership,16,18,26,24,0,0.6923076923076923
1,scalability_30_40_44,123,membership,17,19,26,24,0,0.7307692307692307
1,scalability_30_40_44,123,membership,18,16,21,19,0,0.7619047619047619
1,scalability_30_40_44,123,membership,19,21,27,25,0,0.7777777777777778
1,scalability_30_40_44,123,membership,20,18,23,21,0,0.782608695652174
1,scalability_30_40_44,123,membership,21,15,24,23,0,0.625
1,scalability_30_40_44,123,membership,22,18,26,24,0,0.6923076923076923
1,scalability_30_40_44,123,membership,23,15,23,21,0,0.6521739130434783
1,scalability_30_40_44,123,membership,24,19,24,23,0,0.7916666666666666
1,scalability_30_40_44,123,membership,25,21,28,26,0,0.75
1,scalability_30_40_44,123,membership,26,14,20,18,0,0.7
1,scalability_30_40_44,123,membership,27,17,23,21,0,0.7391304347826086
1,scalability_30_40_44,123,membership,28,15,23,21,0,0.6521739130434783
1,scalability_30_40_44,123,membership,29,19,24,22,0,0.7916666666666666
1,scalability_30_40_44,123,membership,30,20,24,22,0,0.8333333333333334
1,scalability_30_40_44,123,membership,31,18,25,23,0,0.72
1,scalability_30_40_44,123,membership,32,14,21,16,0,0.6666666666666666
1,scalability_30_40_44,123,membership,33,19,26,24,0,0.7307692307692307
1,scalability_30_40_44,123,membership,34,17,24,22,0,0.7083333333333334
1,scalability_30_40_44,123,membership,35,20,27,25,0,0.7407407407407407
1,scalability_30_40_44,123,membership,36,19,24,24,0,0.7916666666666666
1,scalability_30_40_44,123,membership,37,19,25,23,0,0.76
1,scalability_30_40_44,123,membership,38,14,19,17,0,0.7368421052631579
1,scalability_30_40_44,123,membership,39,17,26,24,0,0.6538461538461539
1,scalability_30_40_44,123,membership,40,10,17,15,0,0.5882352941176471
1,scalability_30_40_44,123,membership,41,19,27,25,0,0.7037037037037037
1,scalability_30_40_44,123,membership,42,14,20,18,0,0.7
1,scalability_30_40_44,123,membership,43,14,20,18,0,0.7
1,scalability_30_40_44,123,membership,44,18,27,25,0,0.6666666666666666
1,scalability_30_40_44,123,membership,45,16,22,20,0,0.7272727272727273
1,scalability_30_40_44,123,membership,46,14,22,20,0,0.6363636363636364
1,scalability_30_40_44,123,membership,47,15,22,20,0,0.6818181818181818
1,scalability_30_40_44,123,membership,48,20,27,25,0,0.7407407407407407
1,scalability_30_40_44,123,membership,49,14,20,18,0,0.7
1,scalability_30_40_44,123,membership,50,18,21,19,0,0.8571428571428571
1,scalability_30_40_44,123,membership,51,16,25,24,0,0.64
1,scalability_30_40_44,123,membership,52,14,22,20,0,0.6363636363636364
1,scalability_30_40_44,123,membership,53,15,23,21,0,0.6521739130434783
1,scalability_30_40_44,123,membership,54,12,21,19,0,0.5714285714285714
1,scalability_30_40_44,123,membership,55,15,22,20,0,0.6818181818181818
1,scalability_30_40_44,123,membership,56,20,26,25,0,0.7692307692307693
1,scalability_30_40_44,123,membership,57,19,24,22,0,0.7916666666666666
1,scalability_30_40_44,123,membership,58,18,28,27,0,0.6428571428571429
1,scalability_30_40_44,123,membership,59,20,27,25,0,0.7407407407407407
1,scalability_30_40_44,123,membership,60,16,22,21,0,0.7272727272727273
1,scalability_30_40_44,123,membership,61,13,25,16,0,0.52
1,scalability_30_40_44,123,membership,62,19,24,22,0,0.7916666666666666
1,scalability_30_40_44,123,membership,63,14,21,19,0,0.6666666666666666
1,scalability_30_40_44,123,membership,64,15,20,19,0,0.75
1,scalability_30_40_44,123,membership,65,15,22,20,0,0.6818181818181818
1,scalability_30_40_44,123,membership,66,22,29,27,0,0.7586206896551724
1,scalability_30_40_44,123,membership,67,18,24,22,0,0.75
1,scalability_30_40_44,123,membership,68,17,22,21,0,0.7727272727272727
1,scalability_30_40_44,123,membership,69,18,27,25,0,0.6666666666666666
1,scalability_30_40_44,123,membership,70,17,24,23,0,0.7083333333333334
1,scalability_30_40_44,123,membership,71,17,25,23,0,0.68
1,scalability_30_40_44,123,membership,72,21,27,25,0,0.7777777777777778
1,scalability_30_40_44,123,membership,73,20,26,24,0,0.7692307692307693
1,scalability_30_40_44,123,membership,74,14,21,19,0,0.6666666666666666
1,scalability_30_40_44,123,membership,75,16,20,19,0,0.8
1,scalability_30_40_44,123,membership,76,18,29,27,0,0.6206896551724138
1,scalability_30_40_44,123,membership,77,14,22,20,0,0.6363636363636364
1,scalability_30_40_44,123,membership,78,15,20,19,0,0.75
1,scalability_30_40_44,123,membership,79,15,22,20,0,0.6818181818181818
1,scalability_30_40_44,123,membership,80,19,24,22,0,0.7916666666666666
1,scalability_30_40_44,123,membership,81,9,18,16,0,0.5
1,scalability_30_40_44,123,membership,82,15,22,20,0,0.6818181818181818
1,scalability_30_40_44,123,membership,83,15,23,21,0,0.6521739130434783
1,scalability_30_40_44,123,membership,84,13,18,16,0,0.7222222222222222
1,scalability_30_40_44,123,membership,85,19,25,23,0,0.76
1,scalability_30_40_44,123,membership,86,19,24,23,0,0.7916666666666666
1,scalability_30_40_44,123,membership,87,13,22,20,0,0.5909090909090909
1,scalability_30_40_44,123,membership,88,13,24,22,0,0.5416666666666666
1,scalability_30_40_44,123,membership,89,14,20,18,0,0.7
1,scalability_30_40_44,123,membership,90,15,18,16,0,0.8333333333333334
1,scalability_30_40_44,123,membership,91,19,24,22,0,0.7916666666666666
1,scalability_30_40_44,123,membership,92,14,22,20,0,0.6363636363636364
1,scalability_30_40_44,123,membership,93,19,26,24,0,0.7307692307692307
1,scalability_30_40_44,123,membership,94,12,22,16,0,0.5454545454545454
1,scalability_30_40_44,123,membership,95,14,21,18,0,0.6666666666666666
1,scalability_30_40_44,123,membership,96,21,27,25,0,0.7777777777777778
1,scalability_30_40_44,123,membership,97,19,26,24,0,0.7307692307692307
1,scalability_30_40_44,123,membership,98,16,21,19,0,0.7619047619047619
1,scalability_30_40_44,123,membership,99,19,30,28,0,0.6333333333333333
1,scalability_30_40_44,123,membership,100,14,24,20,0,0.5833333333333334
1,scalability_30_40_44,123,membership,101,13,22,20,0,0.5909090909090909
1,scalability_30_40_44,123,membership,102,11,22,20,0,0.5
1,scalability_30_40_44,123,membership,103,20,25,24,0,0.8
1,scalability_30_40_44,123,membership,104,14,25,23,0,0.56
1,scalability_30_40_44,123,membership,105,22,29,28,0,0.7586206896551724
1,scalability_30_40_44,123,membership,106,15,23,21,0,0.6521739130434783
1,scalability_30_40_44,123,membership,107,17,24,25,0,0.7083333333333334
1,scalability_30_40_44,123,membership,108,18,24,22,0,0.75
1,scalability_30_40_44,123,membership,109,20,25,23,0,0.8
1,scalability_30_40_44,123,membership,110,19,27,25,0,0.7037037037037037
1,scalability_30_40_44,123,membership,111,13,19,17,0,0.6842105263157895
