arm,band_topo,seed,eval_cond,episode,root_owned,reachable,n_discovered,won,score
2,scalability_80_100_5,42,membership,0,18,74,72,0,0.24324324324324326
2,scalability_80_100_5,42,membership,1,21,72,70,0,0.2916666666666667
2,scalability_80_100_5,42,membership,2,27,74,72,0,0.36486486486486486
2,scalability_80_100_5,42,membership,3,0,81,1,0,0.0
2,scalability_80_100_5,42,membership,4,0,81,1,0,0.0
2,scalability_80_100_5,42,membership,5,25,74,70,0,0.33783783783783783
2,scalability_80_100_5,42,membership,6,20,76,74,0,0.2631578947368421
2,scalability_80_100_5,42,membership,7,24,74,72,0,0.32432432432432434
2,scalability_80_100_5,42,membership,8,24,81,80,0,0.2962962962962963
2,scalability_80_100_5,42,membership,9,0,81,1,0,0.0
2,scalability_80_100_5,42,membership,10,24,65,63,0,0.36923076923076925
2,scalability_80_100_5,42,membership,11,21,76,74,0,0.27631578947368424
2,scalability_80_100_5,42,membership,12,23,71,64,0,0.323943661971831
2,scalability_80_100_5,42,membership,13,0,81,62,0,0.0
2,scalability_80_100_5,42,membership,14,21,74,72,0,0.28378378378378377
2,scalability_80_100_5,42,membership,15,21,62,60,0,0.3387096774193548
2,scalability_80_100_5,42,membership,16,25,71,69,0,0.352112676056338
2,scalability_80_100_5,42,membership,17,27,63,61,0,0.42857142857142855
2,scalability_80_100_5,42,membership,18,21,76,74,0,0.27631578947368424
2,scalability_80_100_5,42,membership,19,18,66,64,0,0.2727272727272727
2,scalability_80_100_5,42,membership,20,17,75,74,0,0.22666666666666666
2,scalability_80_100_5,42,membership,21,22,70,68,0,0.3142857142857143
2,scalability_80_100_5,42,membership,22,0,81,1,0,0.0
2,scalability_80_100_5,42,membership,23,21,67,65,0,0.31343283582089554
2,scalability_80_100_5,42,membership,24,24,70,47,0,0.34285714285714286
2,scalability_80_100_5,42,membership,25,21,72,70,0,0.2916666666666667
2,scalability_80_100_5,42,membership,26,26,76,74,0,0.34210526315789475
2,scalability_80_100_5,42,membership,27,14,70,29,0,0.2
2,scalability_80_100_5,42,membership,28,24,75,73,0,0.32
2,scalability_80_100_5,42,membership,29,15,75,73,0,0.2
