arm,band_topo,seed,eval_cond,episode,root_owned,reachable,n_discovered,won,score
3,scalability_80_100_67,300,static,0,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,1,29,73,80,0,0.3972602739726027
3,scalability_80_100_67,300,static,2,24,73,80,0,0.3287671232876712
3,scalability_80_100_67,300,static,3,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,4,28,73,79,0,0.3835616438356164
3,scalability_80_100_67,300,static,5,30,73,80,0,0.410958904109589
3,scalability_80_100_67,300,static,6,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,7,26,73,80,0,0.3561643835616438
3,scalability_80_100_67,300,static,8,34,73,80,0,0.4657534246575342
3,scalability_80_100_67,300,static,9,33,73,80,0,0.4520547945205479
3,scalability_80_100_67,300,static,10,31,73,80,0,0.4246575342465753
3,scalability_80_100_67,300,static,11,25,73,80,0,0.3424657534246575
3,scalability_80_100_67,300,static,12,26,73,80,0,0.3561643835616438
3,scalability_80_100_67,300,static,13,34,73,80,0,0.4657534246575342
3,scalability_80_100_67,300,static,14,0,73,1,0,0.0
3,scalability_80_100_67,300,static,15,30,73,80,0,0.410958904109589
3,scalability_80_100_67,300,static,16,29,73,80,0,0.3972602739726027
3,scalability_80_100_67,300,static,17,22,73,80,0,0.3013698630136986
3,scalability_80_100_67,300,static,18,35,73,80,0,0.4794520547945205
3,scalability_80_100_67,300,static,19,27,73,80,0,0.3698630136986301
3,scalability_80_100_67,300,static,20,30,73,80,0,0.410958904109589
3,scalability_80_100_67,300,static,21,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,22,33,73,80,0,0.4520547945205479
3,scalability_80_100_67,300,static,23,27,73,80,0,0.3698630136986301
3,scalability_80_100_67,300,static,24,33,73,80,0,0.4520547945205479
3,scalability_80_100_67,300,static,25,29,73,80,0,0.3972602739726027
3,scalability_80_100_67,300,static,26,27,73,80,0,0.3698630136986301
3,scalability_80_100_67,300,static,27,27,73,80,0,0.3698630136986301
3,scalability_80_100_67,300,static,28,38,73,80,0,0.5205479452054794
3,scalability_80_100_67,300,static,29,29,73,80,0,0.3972602739726027
3,scalability_80_100_67,300,static,30,26,73,80,0,0.3561643835616438
3,scalability_80_100_67,300,static,31,36,73,80,0,0.4931506849315068
3,scalability_80_100_67,300,static,32,34,73,80,0,0.4657534246575342
3,scalability_80_100_67,300,static,33,33,73,80,0,0.4520547945205479
3,scalability_80_100_67,300,static,34,21,73,80,0,0.2876712328767123
3,scalability_80_100_67,300,static,35,33,73,80,0,0.4520547945205479
3,scalability_80_100_67,300,static,36,30,73,80,0,0.410958904109589
3,scalability_80_100_67,300,static,37,31,73,80,0,0.4246575342465753
3,scalability_80_100_67,300,static,38,26,73,80,0,0.3561643835616438
3,scalability_80_100_67,300,static,39,31,73,78,0,0.4246575342465753
3,scalability_80_100_67,300,static,40,24,73,80,0,0.3287671232876712
3,scalability_80_100_67,300,static,41,34,73,80,0,0.4657534246575342
3,scalability_80_100_67,300,static,42,33,73,80,0,0.4520547945205479
3,scalability_80_100_67,300,static,43,30,73,80,0,0.410958904109589
3,scalability_80_100_67,300,static,44,31,73,80,0,0.4246575342465753
3,scalability_80_100_67,300,static,45,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,46,29,73,80,0,0.3972602739726027
3,scalability_80_100_67,300,static,47,30,73,80,0,0.410958904109589
3,scalability_80_100_67,300,static,48,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,49,26,73,80,0,0.3561643835616438
3,scalability_80_100_67,300,static,50,0,73,1,0,0.0
3,scalability_80_100_67,300,static,51,29,73,80,0,0.3972602739726027
3,scalability_80_100_67,300,static,52,33,73,80,0,0.4520547945205479
3,scalability_80_100_67,300,static,53,25,73,80,0,0.3424657534246575
3,scalability_80_100_67,300,static,54,26,73,80,0,0.3561643835616438
3,scalability_80_100_67,300,static,55,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,56,33,73,80,0,0.4520547945205479
3,scalability_80_100_67,300,static,57,27,73,80,0,0.3698630136986301
3,scalability_80_100_67,300,static,58,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,59,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,60,30,73,80,0,0.410958904109589
3,scalability_80_100_67,300,static,61,27,73,80,0,0.3698630136986301
3,scalability_80_100_67,300,static,62,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,63,27,73,80,0,0.3698630136986301
3,scalability_80_100_67,300,static,64,16,73,80,0,0.2191780821917808
3,scalability_80_100_67,300,static,65,30,73,80,0,0.410958904109589
3,scalability_80_100_67,300,static,66,31,73,80,0,0.4246575342465753
3,scalability_80_100_67,300,static,67,29,73,80,0,0.3972602739726027
3,scalability_80_100_67,300,static,68,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,69,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,70,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,71,34,73,80,0,0.4657534246575342
3,scalability_80_100_67,300,static,72,37,73,80,0,0.5068493150684932
3,scalability_80_100_67,300,static,73,25,73,80,0,0.3424657534246575
3,scalability_80_100_67,300,static,74,33,73,80,0,0.4520547945205479
3,scalability_80_100_67,300,static,75,26,73,77,0,0.3561643835616438
3,scalability_80_100_67,300,static,76,26,73,80,0,0.3561643835616438
3,scalability_80_100_67,300,static,77,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,78,26,73,80,0,0.3561643835616438
3,scalability_80_100_67,300,static,79,27,73,80,0,0.3698630136986301
3,scalability_80_100_67,300,static,80,26,73,80,0,0.3561643835616438
3,scalability_80_100_67,300,static,81,24,73,80,0,0.3287671232876712
3,scalability_80_100_67,300,static,82,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,83,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,84,35,73,80,0,0.4794520547945205
3,scalability_80_100_67,300,static,85,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,86,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,87,25,73,80,0,0.3424657534246575
3,scalability_80_100_67,300,static,88,26,73,80,0,0.3561643835616438
3,scalability_80_100_67,300,static,89,29,73,80,0,0.3972602739726027
3,scalability_80_100_67,300,static,90,21,73,80,0,0.2876712328767123
3,scalability_80_100_67,300,static,91,34,73,80,0,0.4657534246575342
3,scalability_80_100_67,300,static,92,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,93,30,73,80,0,0.410958904109589
3,scalability_80_100_67,300,static,94,24,73,80,0,0.3287671232876712
3,scalability_80_100_67,300,static,95,31,73,80,0,0.4246575342465753
3,scalability_80_100_67,300,static,96,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,97,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,98,27,73,80,0,0.3698630136986301
3,scalability_80_100_67,300,static,99,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,100,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,101,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,102,6,73,80,0,0.0821917808219178
3,scalability_80_100_67,300,static,103,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,104,29,73,80,0,0.3972602739726027
3,scalability_80_100_67,300,static,105,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,106,29,73,80,0,0.3972602739726027
3,scalability_80_100_67,300,static,107,29,73,80,0,0.3972602739726027
3,scalability_80_100_67,300,static,108,36,73,80,0,0.4931506849315068
3,scalability_80_100_67,300,static,109,34,73,80,0,0.4657534246575342
3,scalability_80_100_67,300,static,110,31,73,80,0,0.4246575342465753
3,scalability_80_100_67,300,static,111,31,73,80,0,0.4246575342465753
3,scalability_80_100_67,300,static,112,30,73,80,0,0.410958904109589
3,scalability_80_100_67,300,static,113,33,73,80,0,0.4520547945205479
3,scalability_80_100_67,300,static,114,25,73,79,0,0.3424657534246575
3,scalability_80_100_67,300,static,115,39,73,80,0,0.5342465753424658
3,scalability_80_100_67,300,static,116,29,73,80,0,0.3972602739726027
3,scalability_80_100_67,300,static,117,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,118,27,73,80,0,0.3698630136986301
3,scalability_80_100_67,300,static,119,30,73,80,0,0.410958904109589
3,scalability_80_100_67,300,static,120,31,73,79,0,0.4246575342465753
3,scalability_80_100_67,300,static,121,19,73,80,0,0.2602739726027397
3,scalability_80_100_67,300,static,122,41,73,80,0,0.5616438356164384
3,scalability_80_100_67,300,static,123,33,73,80,0,0.4520547945205479
3,scalability_80_100_67,300,static,124,21,73,80,0,0.2876712328767123
3,scalability_80_100_67,300,static,125,29,73,80,0,0.3972602739726027
3,scalability_80_100_67,300,static,126,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,127,31,73,80,0,0.4246575342465753
3,scalability_80_100_67,300,static,128,26,73,80,0,0.3561643835616438
3,scalability_80_100_67,300,static,129,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,130,25,73,80,0,0.3424657534246575
3,scalability_80_100_67,300,static,131,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,132,31,73,80,0,0.4246575342465753
3,scalability_80_100_67,300,static,133,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,134,30,73,80,0,0.410958904109589
3,scalability_80_100_67,300,static,135,30,73,80,0,0.410958904109589
3,scalability_80_100_67,300,static,136,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,137,35,73,80,0,0.4794520547945205
3,scalability_80_100_67,300,static,138,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,139,36,73,80,0,0.4931506849315068
3,scalability_80_100_67,300,static,140,30,73,80,0,0.410958904109589
3,scalability_80_100_67,300,static,141,21,73,80,0,0.2876712328767123
3,scalability_80_100_67,300,static,142,33,73,80,0,0.4520547945205479
3,scalability_80_100_67,300,static,143,23,73,80,0,0.3150684931506849
3,scalability_80_100_67,300,static,144,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,145,31,73,80,0,0.4246575342465753
3,scalability_80_100_67,300,static,146,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,147,30,73,80,0,0.410958904109589
3,scalability_80_100_67,300,static,148,31,73,80,0,0.4246575342465753
3,scalability_80_100_67,300,static,149,18,73,80,0,0.2465753424657534
3,scalability_80_100_67,300,static,150,31,73,80,0,0.4246575342465753
3,scalability_80_100_67,300,static,151,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,152,31,73,80,0,0.4246575342465753
3,scalability_80_100_67,300,static,153,30,73,80,0,0.410958904109589
3,scalability_80_100_67,300,static,154,30,73,80,0,0.410958904109589
3,scalability_80_100_67,300,static,155,35,73,80,0,0.4794520547945205
3,scalability_80_100_67,300,static,156,35,73,80,0,0.4794520547945205
3,scalability_80_100_67,300,static,157,37,73,80,0,0.5068493150684932
3,scalability_80_100_67,300,static,158,24,73,80,0,0.3287671232876712
3,scalability_80_100_67,300,static,159,27,73,80,0,0.3698630136986301
3,scalability_80_100_67,300,static,160,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,161,29,73,80,0,0.3972602739726027
3,scalability_80_100_67,300,static,162,34,73,80,0,0.4657534246575342
3,scalability_80_100_67,300,static,163,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,164,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,165,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,166,26,73,80,0,0.3561643835616438
3,scalability_80_100_67,300,static,167,27,73,80,0,0.3698630136986301
3,scalability_80_100_67,300,static,168,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,169,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,170,24,73,80,0,0.3287671232876712
3,scalability_80_100_67,300,static,171,27,73,80,0,0.3698630136986301
3,scalability_80_100_67,300,static,172,21,73,80,0,0.2876712328767123
3,scalability_80_100_67,300,static,173,36,73,80,0,0.4931506849315068
3,scalability_80_100_67,300,static,174,36,73,80,0,0.4931506849315068
3,scalability_80_100_67,300,static,175,34,73,80,0,0.4657534246575342
3,scalability_80_100_67,300,static,176,29,73,80,0,0.3972602739726027
3,scalability_80_100_67,300,static,177,34,73,80,0,0.4657534246575342
3,scalability_80_100_67,300,static,178,35,73,80,0,0.4794520547945205
3,scalability_80_100_67,300,static,179,23,73,80,0,0.3150684931506849
3,scalability_80_100_67,300,static,180,25,73,80,0,0.3424657534246575
3,scalability_80_100_67,300,static,181,38,73,80,0,0.5205479452054794
3,scalability_80_100_67,300,static,182,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,183,26,73,80,0,0.3561643835616438
3,scalability_80_100_67,300,static,184,0,73,1,0,0.0
3,scalability_80_100_67,300,static,185,28,73,80,0,0.3835616438356164
3,scalability_80_100_67,300,static,186,36,73,80,0,0.4931506849315068
3,scalability_80_100_67,300,static,187,31,73,76,0,0.4246575342465753
3,scalability_80_100_67,300,static,188,31,73,80,0,0.4246575342465753
3,scalability_80_100_67,300,static,189,34,73,80,0,0.4657534246575342
3,scalability_80_100_67,300,static,190,38,73,80,0,0.5205479452054794
3,scalability_80_100_67,300,static,191,32,73,80,0,0.4383561643835616
3,scalability_80_100_67,300,static,192,34,73,80,0,0.4657534246575342
3,scalability_80_100_67,300,static,193,33,73,80,0,0.4520547945205479
3,scalability_80_100_67,300,static,194,36,73,80,0,0.4931506849315068
3,scalability_80_100_67,300,static,195,29,73,80,0,0.3972602739726027
3,scalability_80_100_67,300,static,196,25,73,80,0,0.3424657534246575
3,scalability_80_100_67,300,static,197,0,73,1,0,0.0
3,scalability_80_100_67,300,static,198,34,73,80,0,0.4657534246575342
3,scalability_80_100_67,300,static,199,29,73,80,0,0.3972602739726027
